"Season","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2010",".305","1.51","20.6 %","47.8 %","31.6 %","10.0 %","0.0 %","52","4.5 %","19","82.6 %","45.2 %","33.3 %","21.5 %","16.3 %","50.5 %","33.2 %"
"2011",".280","1.58","19.5 %","49.3 %","31.3 %","8.9 %","0.0 %","41","3.6 %","13","72.2 %","45.5 %","32.8 %","21.7 %","19.3 %","52.9 %","27.7 %"
"2012",".293","1.43","22.4 %","45.7 %","31.9 %","11.3 %","0.0 %","99","4.8 %","29","69.0 %","41.0 %","35.2 %","23.8 %","15.0 %","55.0 %","30.0 %"
"2013",".281","1.30","22.8 %","43.6 %","33.6 %","10.0 %","0.0 %","132","4.4 %","31","54.4 %","39.9 %","36.1 %","24.1 %","15.7 %","52.5 %","31.8 %"
"2014",".290","1.34","22.1 %","44.6 %","33.3 %","9.9 %","0.0 %","289","4.9 %","51","56.0 %","43.6 %","34.2 %","22.2 %","16.8 %","53.0 %","30.2 %"
"2015",".291","1.42","21.9 %","45.9 %","32.2 %","9.8 %","0.0 %","394","4.9 %","76","63.3 %","40.5 %","36.4 %","23.1 %","17.2 %","53.6 %","29.2 %"
