"Season","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"2010","3323","0.0 %","0.0 %","0.00","0",".311",".392",".704",".075","0.9",".311","340","-42.3",".306","88"
"2012","6176","0.0 %","0.0 %","0.00","0",".306",".403",".708",".085","0.9",".306","623","-81.6",".300","87"
"2014","14972","0.0 %","0.0 %","0.00","0",".298",".382",".680",".077","0.9",".298","1435","-174.5",".295","87"
"2015","24486","0.0 %","0.0 %","0.00","0",".300",".389",".689",".082","1.1",".300","2323","-431.5",".294","82"
"2013","8545","0.0 %","0.0 %","0.00","0",".293",".384",".677",".080","0.9",".293","770","-166.2",".289","81"
"2011","3065","0.0 %","0.0 %","0.00","0",".291",".366",".657",".068","0.6",".291","263","-80.7",".285","75"
