"Season","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"2014","1674","0.0 %","0.0 %","0.00","0",".364",".540",".904",".095","1.6",".364","233","53.3",".354","129"
"2012","1600","0.0 %","0.0 %","0.00","0",".344",".496",".840",".094","1.4",".344","196","13.1",".334","109"
"2013","1664","0.0 %","0.0 %","0.00","0",".340",".499",".838",".087","1.1",".340","199","16.2",".329","110"
"2010","860","0.0 %","0.0 %","0.00","0",".330",".424",".753",".073","1.6",".330","95","-3.9",".320","100"
"2015","6749","0.0 %","0.0 %","0.00","0",".329",".437",".767",".082","1.6",".329","721","-38.2",".318","94"
"2011","715","0.0 %","0.0 %","0.00","0",".331",".398",".730",".039","1.1",".331","71","-9.0",".309","94"
