"Season","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"2010","2463","0.0 %","0.0 %","0.00","0",".305",".383",".688",".076","0.6",".305","244","-38.5",".302","84"
"2012","4576","0.0 %","0.0 %","0.00","0",".293",".376",".670",".082","0.6",".293","427","-95.3",".289","79"
"2014","13298","0.0 %","0.0 %","0.00","0",".290",".367",".657",".075","0.9",".290","1201","-228.9",".288","82"
"2015","17737","0.0 %","0.0 %","0.00","0",".291",".374",".665",".082","0.9",".291","1616","-379.4",".286","78"
"2013","6881","0.0 %","0.0 %","0.00","0",".281",".361",".643",".079","0.9",".281","571","-183.0",".280","74"
"2011","2350","0.0 %","0.0 %","0.00","0",".280",".357",".636",".076","0.4",".280","192","-71.5",".278","70"
