"Season","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2010",".330","3.34","16.3 %","64.4 %","19.3 %","15.2 %","0.0 %","36","7.1 %","4","5.3 %","38.6 %","42.3 %","19.1 %","19.9 %","55.5 %","24.7 %"
"2011",".331","3.57","15.0 %","66.4 %","18.6 %","19.7 %","0.0 %","25","5.5 %","2","6.1 %","40.4 %","41.4 %","18.2 %","27.8 %","53.7 %","18.5 %"
"2012",".344","1.95","21.1 %","52.2 %","26.7 %","12.2 %","0.0 %","64","8.5 %","17","10.8 %","37.1 %","39.1 %","23.8 %","16.8 %","61.8 %","21.4 %"
"2013",".340","1.71","23.8 %","48.1 %","28.2 %","12.6 %","0.0 %","65","8.4 %","10","16.1 %","39.9 %","36.8 %","23.3 %","18.0 %","55.5 %","26.6 %"
"2014",".364","1.56","23.2 %","46.7 %","30.0 %","10.7 %","0.0 %","66","8.9 %","7","8.5 %","39.4 %","39.1 %","21.6 %","20.1 %","56.6 %","23.3 %"
"2015",".329","1.94","21.8 %","51.6 %","26.6 %","11.4 %","0.0 %","221","8.4 %","231","14.0 %","33.6 %","37.1 %","29.4 %","22.2 %","56.9 %","20.8 %"
