"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Evan Steele","Royals","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.68","5.79","5.10","5.91","0.0","0.0","999.0","sa915636"
"Josh Maciejewski","Yankees","0","0","5.64","0","0","0","1.0","1","1","0","1","0","1.57","6.62","4.16","5.91","0.0","0.0","999.0","sa3007581"
"Mike Wallace","","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.62","4.71","3.71","5.91","0.0","0.0","999.0","sa857554"
"Spencer Adams","White Sox","0","0","5.84","0","0","0","1.0","1","1","0","1","0","1.57","5.80","3.60","5.91","0.0","0.0","999.0","sa828687"
"Enmanuel Solano","Cardinals","0","0","5.80","0","0","0","1.0","1","1","0","0","0","1.67","4.41","4.36","5.91","0.0","0.0","999.0","sa921578"
"Trenton Toplikar","Giants","0","0","5.79","0","0","0","1.0","1","1","0","1","1","1.68","5.18","4.95","5.92","0.0","0.0","999.0","sa3007803"
"Brayan Bello","Red Sox","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.64","5.54","4.44","5.92","0.0","0.0","999.0","sa3005436"
"Ofreidy Gomez","Royals","0","0","5.83","0","0","0","1.0","1","1","0","1","1","1.61","5.98","4.56","5.92","0.0","0.0","999.0","sa737451"
"Dilmer Mejia","Braves","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.59","5.39","3.96","5.92","0.0","0.0","999.0","sa828518"
"Shane McCarthy","Indians","0","0","5.85","0","0","0","1.0","1","1","0","1","1","1.65","5.96","4.64","5.92","0.0","0.0","999.0","sa915740"
"Eduardo Vera","","0","0","5.81","0","0","0","1.0","1","1","0","1","0","1.48","5.52","2.85","5.92","0.0","0.0","999.0","sa657658"
"Jack Wynkoop","Rockies","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.52","4.73","2.47","5.92","0.0","0.0","999.0","sa875060"
"Miguel Pena","","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.64","5.19","4.45","5.92","0.0","0.0","999.0","sa501449"
"Dennis O'Grady","","0","0","5.87","0","0","0","1.0","1","1","0","1","0","1.62","5.57","4.16","5.93","0.0","0.0","999.0","sa546796"
"Leuris Gomez","","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.55","5.31","3.27","5.93","0.0","0.0","999.0","sa455628"
"Raymond Burgos","Indians","0","0","5.74","0","0","0","1.0","1","1","0","1","1","1.69","5.74","5.02","5.93","0.0","0.0","999.0","sa918469"
"Jorge Castillo","","0","0","5.71","0","0","0","1.0","1","1","0","1","0","1.60","5.68","4.16","5.93","0.0","0.0","999.0","sa508060"
"Bryan Hudson","","0","0","5.66","0","0","0","1.0","1","1","0","1","1","1.78","4.83","5.64","5.93","0.0","0.0","999.0","sa874984"
"David Holman","","0","0","6.08","0","0","0","1.0","1","1","0","1","0","1.65","5.16","3.96","5.94","0.0","0.0","999.0","sa503702"
"Josh Turley","","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.65","6.53","4.91","5.94","0.0","0.0","999.0","sa503159"
"Tanner Dodson","Rays","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.67","5.91","4.90","5.94","0.0","0.0","999.0","sa3007008"
"Ryan Lillie","Reds","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.54","6.04","3.58","5.94","0.0","0.0","999.0","sa3004740"
"Ethan Lindow","Phillies","0","0","5.60","0","0","0","1.0","1","1","0","1","0","1.56","6.31","4.16","5.94","0.0","0.0","999.0","sa3005028"
"Robinson Pina","Angels","0","0","5.68","0","0","0","1.0","1","1","0","1","1","1.70","6.97","5.92","5.95","0.0","0.0","999.0","sa3003123"
"Tanner Andrews","Marlins","0","0","5.81","0","0","0","1.0","1","1","0","1","0","1.62","5.36","4.33","5.95","0.0","0.0","999.0","sa3007850"
"Eli Villalobos","Marlins","0","0","5.85","0","0","0","1.0","1","1","0","1","1","1.69","5.54","4.94","5.95","0.0","0.0","999.0","sa3007997"
"Kody Funderburk","Twins","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.74","5.66","5.44","5.95","0.0","0.0","999.0","sa3007780"
"Alex FaGalde","Cardinals","0","0","5.77","0","0","0","1.0","1","1","0","1","0","1.51","5.87","3.51","5.95","0.0","0.0","999.0","sa3004602"
"Tyler Palm","Twins","0","0","5.95","0","0","0","1.0","1","1","0","1","0","1.63","5.43","4.09","5.95","0.0","0.0","999.0","sa3007270"
"Wilmer Rios","","0","0","5.87","0","0","0","1.0","1","1","0","1","0","1.59","5.19","3.65","5.96","0.0","0.0","999.0","sa830629"
"Andres Ivan Meza","","0","0","5.87","0","0","0","1.0","1","1","0","0","0","1.66","4.39","4.08","5.96","0.0","0.0","999.0","sa508496"
"Matt Pearce","","0","0","5.84","0","0","0","1.0","1","1","0","1","0","1.45","5.93","2.65","5.96","0.0","0.0","999.0","sa829078"
"Colten Schmidt","Rockies","0","0","5.95","0","0","0","1.0","1","1","0","1","0","1.62","5.24","3.77","5.96","0.0","0.0","999.0","sa3006765"
"Hector Ambriz","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.56","5.04","3.33","5.96","0.0","0.0","999.0","559"
"Cesar Carrillo","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.63","5.20","4.02","5.96","0.0","0.0","999.0","4697"
"Bubba Derby","Brewers","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.56","6.61","4.09","5.96","0.0","0.0","999.0","sa875183"
"Joel De La Cruz","","0","0","5.96","0","0","0","1.0","1","1","0","1","0","1.57","5.43","3.35","5.96","0.0","0.0","999.0","12825"
"Evan Guillory","","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.65","4.75","4.23","5.96","0.0","0.0","999.0","sa3003994"
"Jose Marte","Giants","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.75","5.93","6.02","5.96","0.0","0.0","999.0","sa917458"
"Luis Niebla","","0","0","6.06","0","0","0","1.0","1","1","0","1","0","1.64","6.13","4.37","5.97","0.0","0.0","999.0","sa542987"
"Mauricio Lara","","0","0","5.78","0","0","0","1.0","1","1","0","0","0","1.63","4.45","3.83","5.97","0.0","0.0","999.0","sa198885"
"Chris Pike","Rays","0","0","5.82","0","0","0","1.0","1","1","0","1","0","1.57","6.21","4.07","5.97","0.0","0.0","999.0","sa829177"
"Mark Reyes","Giants","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.74","5.49","5.65","5.97","0.0","0.0","999.0","sa602813"
"Tim Lincecum","","0","0","6.08","0","0","0","1.0","1","1","0","1","0","1.60","6.23","4.04","5.97","0.0","0.0","999.0","5705"
"Alex Lange","Tigers","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.64","6.16","4.61","5.97","0.0","0.0","999.0","sa3005280"
"Tommy Bergjans","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.51","5.99","3.15","5.97","0.0","0.0","999.0","sa875211"
"Brigham Hill","","0","0","5.86","0","0","0","1.0","1","1","0","1","1","1.72","4.81","4.92","5.97","0.0","0.0","999.0","sa915793"
"Cameron Mingo","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.56","5.45","3.41","5.97","0.0","0.0","999.0","sa945471"
"Tyler Keele","","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.54","6.60","3.89","5.97","0.0","0.0","999.0","sa918336"
"Joe DeMers","Athletics","0","0","5.89","0","0","0","1.0","1","1","0","1","0","1.63","4.71","4.09","5.97","0.0","0.0","999.0","sa3008597"
"Arturo Lopez","","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.56","4.80","3.31","5.97","0.0","0.0","999.0","3319"
"Luis Rijo","Twins","0","0","5.97","0","0","0","1.0","1","1","0","1","0","1.61","5.30","3.79","5.97","0.0","0.0","999.0","sa916950"
"McKenzie Mills","","0","0","5.70","0","0","0","1.0","1","1","0","1","0","1.52","6.59","3.85","5.97","0.0","0.0","999.0","sa829294"
"Drew Strotman","Rays","0","0","5.83","0","0","0","1.0","1","1","0","1","1","1.67","5.75","4.82","5.98","0.0","0.0","999.0","sa3004584"
"Rafael Kelly","","0","0","5.83","0","0","0","1.0","1","1","0","1","0","1.61","5.18","4.19","5.98","0.0","0.0","999.0","sa3002917"
"Sean O'Sullivan","","0","0","6.00","0","0","0","1.0","1","1","0","1","0","1.55","5.99","3.41","5.98","0.0","0.0","999.0","9137"
"Aaron Blair","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.57","6.46","4.13","5.98","0.0","0.0","999.0","14934"
"Alex Manasa","Pirates","0","0","6.05","0","0","0","1.0","1","1","0","1","0","1.68","4.71","4.19","5.98","0.0","0.0","999.0","sa3004213"
"Logan Shore","","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.58","5.31","3.59","5.98","0.0","0.0","999.0","sa738442"
"Deivy Florido","Mariners","0","0","5.77","0","0","0","1.0","1","1","0","1","0","1.49","5.63","3.11","5.98","0.0","0.0","999.0","sa3006380"
"Travis MacGregor","Pirates","0","0","6.09","0","0","0","1.0","1","1","0","1","1","1.74","5.56","5.02","5.98","0.0","0.0","999.0","sa917950"
"Sam Held","","0","0","5.91","0","0","0","1.0","1","1","0","1","0","1.66","5.14","4.31","5.99","0.0","0.0","999.0","sa918665"
"Chris Jensen","","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.57","6.00","3.94","5.99","0.0","0.0","999.0","sa579619"
"Jorge Guzman","Marlins","0","0","5.74","0","0","0","1.0","1","1","0","1","1","1.66","6.98","5.64","5.99","0.0","0.0","999.0","sa872759"
"Brandon Finnegan","Reds","0","0","5.93","0","0","0","1.0","1","1","0","1","1","1.64","7.13","4.91","5.99","0.0","0.0","999.0","16208"
"Graham Spraker","Blue Jays","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.54","5.60","3.45","5.99","0.0","0.0","999.0","sa3004024"
"Luis Mateo","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.63","5.97","4.48","5.99","0.0","0.0","999.0","sa597557"
"Yoanner Negrin","","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.59","5.12","3.79","5.99","0.0","0.0","999.0","sa608348"
"Ruddy Acosta","","0","0","5.90","0","0","0","1.0","1","1","0","0","0","1.63","4.49","3.85","5.99","0.0","0.0","999.0","sa824737"
"Ryan Kussmaul","","0","0","5.97","0","0","0","1.0","1","1","0","1","0","1.59","5.90","3.87","5.99","0.0","0.0","999.0","sa554616"
"Luc Rennie","Mets","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.54","5.67","3.52","5.99","0.0","0.0","999.0","sa658278"
"Osvaldo Bido","Pirates","0","0","6.00","0","0","0","1.0","1","1","0","1","0","1.67","4.91","4.29","6.00","0.0","0.0","999.0","sa3003138"
"Jake Latz","Rangers","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.65","6.67","5.11","6.00","0.0","0.0","999.0","sa829008"
"Emilio Marquez","Royals","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.66","5.81","4.87","6.00","0.0","0.0","999.0","sa3006145"
"Efrain Contreras","Padres","0","0","5.86","0","0","0","1.0","1","1","0","1","1","1.62","6.08","4.56","6.00","0.0","0.0","999.0","sa3005692"
"Elio Serrano","Dodgers","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.59","5.73","4.18","6.00","0.0","0.0","999.0","sa917324"
"Tyler Carpenter","","0","0","5.92","0","0","0","1.0","1","1","0","1","0","1.51","5.98","3.26","6.00","0.0","0.0","999.0","sa829365"
"Greyfer Eregua","","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.62","6.14","4.38","6.00","0.0","0.0","999.0","sa659746"
"Casey Harman","","0","0","5.80","0","0","0","1.0","1","1","0","1","0","1.58","5.38","3.78","6.01","0.0","0.0","999.0","sa549808"
"Tyrell Jenkins","","0","0","6.00","0","0","0","1.0","1","1","0","1","1","1.68","5.92","4.71","6.01","0.0","0.0","999.0","11378"
"Felix Paulino","White Sox","0","0","5.92","0","0","0","1.0","1","1","0","1","0","1.60","6.18","4.10","6.01","0.0","0.0","999.0","sa828972"
"Conner Greene","Royals","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.70","5.85","5.38","6.01","0.0","0.0","999.0","sa737829"
"Erik Johnson","","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.51","6.48","3.26","6.01","0.0","0.0","999.0","12520"
"Walter Silva","","0","0","5.91","0","0","0","1.0","1","1","0","0","0","1.64","4.27","3.80","6.01","0.0","0.0","999.0","5157"
"Jaison Vilera","Mets","0","0","5.92","0","0","0","1.0","1","1","0","1","0","1.62","5.93","4.38","6.01","0.0","0.0","999.0","sa917752"
"Mark Zimmerman","Padres","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.74","5.69","5.53","6.01","0.0","0.0","999.0","sa918846"
"Andrew Brown","Phillies","0","0","5.78","0","0","0","1.0","1","1","0","1","1","1.67","4.82","4.52","6.01","0.0","0.0","999.0","sa918255"
"Seth Romero","Nationals","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.69","6.13","5.29","6.01","0.0","0.0","999.0","sa3005301"
"Oddy Nunez","Pirates","0","0","5.94","0","0","0","1.0","1","1","0","1","1","1.76","4.58","5.02","6.01","0.0","0.0","999.0","sa874248"
"Mike Kaelin","","0","0","5.91","0","0","0","1.0","1","1","0","1","0","1.58","6.95","4.40","6.01","0.0","0.0","999.0","sa915643"
"Alexis Rivero","","0","0","5.87","0","0","0","1.0","1","1","0","1","0","1.60","6.30","4.40","6.01","0.0","0.0","999.0","sa735860"
"Gage Hinsz","Pirates","0","0","6.14","0","0","0","1.0","1","1","0","1","0","1.70","4.70","4.23","6.01","0.0","0.0","999.0","sa829024"
"Stephan Meyer","","0","0","6.15","0","0","0","1.0","1","1","0","1","1","1.76","4.88","4.87","6.01","0.0","0.0","999.0","sa875772"
"Emmanuel Torres","","0","0","5.93","0","0","0","1.0","1","1","0","1","1","1.68","5.85","4.89","6.01","0.0","0.0","999.0","sa728948"
"Jon Moscot","","0","0","6.07","0","0","0","1.0","1","1","0","1","0","1.56","6.05","3.36","6.02","0.0","0.0","999.0","13849"
"Domenic Mazza","","0","0","5.83","0","0","0","1.0","1","1","0","1","0","1.62","5.27","4.08","6.02","0.0","0.0","999.0","sa875342"
"Connor Thomas","Cardinals","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.76","5.04","5.54","6.02","0.0","0.0","999.0","sa3010784"
"Jordan Johnson","","0","0","5.92","0","0","0","1.0","1","1","0","1","1","1.63","6.39","4.67","6.02","0.0","0.0","999.0","sa602658"
"Michael Baumann","Orioles","0","0","5.79","0","0","0","1.0","1","1","0","1","1","1.59","6.87","4.62","6.02","0.0","0.0","999.0","sa829681"
"Tiago Da Silva","","0","0","5.92","0","0","0","1.0","1","1","0","1","0","1.61","5.15","3.93","6.02","0.0","0.0","999.0","sa795086"
"Paul Richan","Tigers","0","0","6.00","0","0","0","1.0","1","1","0","1","0","1.55","5.53","3.31","6.02","0.0","0.0","999.0","sa3008025"
"Andrew Moore","","0","0","5.81","0","0","0","1.0","1","1","0","1","0","1.46","6.04","2.88","6.02","0.0","0.0","999.0","17553"
"Damon Casetta-Stubbs","Mariners","0","0","5.85","0","0","0","1.0","1","1","0","1","1","1.66","5.27","4.61","6.02","0.0","0.0","999.0","sa3008387"
"Marcos Tineo","Diamondbacks","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.75","4.97","5.28","6.03","0.0","0.0","999.0","sa3003124"
"Raul Carrillo","","0","0","5.92","0","0","0","1.0","1","1","0","0","0","1.68","4.47","4.37","6.03","0.0","0.0","999.0","sa795710"
"Tommy Romero","Rays","0","0","5.73","0","0","0","1.0","1","1","0","1","0","1.55","6.53","4.26","6.03","0.0","0.0","999.0","sa3004469"
"Francys Peguero","Nationals","0","0","5.89","0","0","0","1.0","1","1","0","1","0","1.61","5.13","3.96","6.03","0.0","0.0","999.0","sa748442"
"Jack Perkins","Phillies","0","0","5.86","0","0","0","1.0","1","1","0","1","1","1.63","6.22","4.61","6.03","0.0","0.0","999.0","sa3007713"
"Caleb Sampen","Rays","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.65","5.35","4.48","6.04","0.0","0.0","999.0","sa3007965"
"Misael Siverio","","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.64","5.57","4.41","6.04","0.0","0.0","999.0","sa802747"
"Jose Olague","","0","0","5.99","0","0","0","1.0","1","1","0","0","0","1.63","3.94","3.41","6.04","0.0","0.0","999.0","sa3005352"
"Oliver Jaskie","","0","0","5.70","0","0","0","1.0","1","1","0","1","1","1.68","7.07","5.77","6.04","0.0","0.0","999.0","sa915858"
"Alex Eubanks","","0","0","5.91","0","0","0","1.0","1","1","0","1","0","1.65","4.86","4.17","6.04","0.0","0.0","999.0","sa3004663"
"Remey Reed","Marlins","0","0","5.91","0","0","0","1.0","1","1","0","1","0","1.63","5.38","4.34","6.04","0.0","0.0","999.0","sa918085"
"Chris Tillman","","0","0","6.00","0","0","0","1.0","1","1","0","1","0","1.61","5.55","3.94","6.04","0.0","0.0","999.0","5279"
"Alex Wells","Orioles","0","0","5.76","0","0","0","1.0","1","1","0","1","0","1.49","5.38","2.82","6.04","0.0","0.0","999.0","sa919319"
"Jose Paulino","","0","0","5.85","0","0","0","1.0","1","1","0","1","1","1.68","5.11","4.63","6.04","0.0","0.0","999.0","sa657308"
"Kevin Malisheski","Dodgers","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.66","5.44","4.78","6.05","0.0","0.0","999.0","sa919034"
"Matt Dennis","Rockies","0","0","6.10","0","0","0","1.0","1","1","0","1","0","1.59","5.25","3.52","6.05","0.0","0.0","999.0","sa918295"
"John Rooney","Dodgers","0","0","5.70","0","0","0","1.0","1","1","0","1","1","1.62","5.63","4.60","6.05","0.0","0.0","999.0","sa3008417"
"Kervin Castro","Giants","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.74","4.74","5.16","6.05","0.0","0.0","999.0","sa916834"
"Cody Deason","Astros","0","0","5.93","0","0","0","1.0","1","1","0","1","1","1.65","6.79","5.09","6.05","0.0","0.0","999.0","sa3007958"
"Nick Allgeyer","Blue Jays","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.60","5.83","3.93","6.05","0.0","0.0","999.0","sa3006698"
"Carson LaRue","Astros","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.52","6.32","3.66","6.05","0.0","0.0","999.0","sa918324"
"Danny Gutierrez","","0","0","6.00","0","0","0","1.0","1","1","0","1","0","1.64","5.04","4.02","6.05","0.0","0.0","999.0","sa326150"
"Adam Quintana","","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.72","6.04","5.30","6.06","0.0","0.0","999.0","sa883461"
"Ryan Rolison","Rockies","0","0","6.04","0","0","0","1.0","1","1","0","1","0","1.66","5.84","4.46","6.06","0.0","0.0","999.0","sa3008244"
"Josh Outman","","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.66","6.06","4.95","6.06","0.0","0.0","999.0","4004"
"Marcelo Martinez","Royals","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.58","5.61","4.17","6.06","0.0","0.0","999.0","sa3005060"
"Taylor Varnell","White Sox","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.63","6.42","4.63","6.06","0.0","0.0","999.0","sa3006806"
"Tony Dibrell","Mets","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.63","6.68","4.91","6.06","0.0","0.0","999.0","sa3004657"
"Resly Linares","Rays","0","0","5.74","0","0","0","1.0","1","1","0","1","1","1.67","6.26","5.21","6.06","0.0","0.0","999.0","sa873296"
"Nathan Kirby","Brewers","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.78","6.24","6.03","6.06","0.0","0.0","999.0","sa874754"
"Shawn Semple","Yankees","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.56","6.49","3.86","6.06","0.0","0.0","999.0","sa3004661"
"Hector Yan","Angels","0","0","5.70","0","0","0","1.0","1","1","0","1","1","1.69","7.22","5.86","6.06","0.0","0.0","999.0","sa917194"
"Miller Hogan","Rays","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.55","6.01","3.79","6.07","0.0","0.0","999.0","sa3007806"
"Connor Eller","","0","0","6.00","0","0","0","1.0","1","1","0","1","1","1.66","5.74","4.61","6.07","0.0","0.0","999.0","sa918513"
"Nicholas Economos","","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.56","6.34","3.99","6.07","0.0","0.0","999.0","sa875301"
"Stephen Woods Jr.","","0","0","5.86","0","0","0","1.0","1","1","0","1","1","1.70","6.03","5.34","6.07","0.0","0.0","999.0","sa737853"
"David Hill","Rockies","0","0","6.27","0","0","0","1.0","1","1","0","1","0","1.69","5.67","4.40","6.07","0.0","0.0","999.0","sa658377"
"Manuel Santiago","","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.63","5.61","4.37","6.07","0.0","0.0","999.0","sa3003145"
"Anthony Ranaudo","","0","0","6.06","0","0","0","1.0","1","1","0","1","0","1.57","6.19","3.76","6.07","0.0","0.0","999.0","11424"
"A.J. Puckett","White Sox","0","0","6.00","0","0","0","1.0","1","1","0","1","1","1.66","5.94","4.62","6.07","0.0","0.0","999.0","sa738686"
"Jorge Reyes","","0","0","5.99","0","0","0","1.0","1","1","0","1","0","1.63","5.08","4.02","6.07","0.0","0.0","999.0","sa501947"
"Adrian Del Moral","Diamondbacks","0","0","6.09","0","0","0","1.0","1","1","0","1","1","1.70","5.06","4.75","6.08","0.0","0.0","999.0","sa3006816"
"Max Kranick","Pirates","0","0","6.14","0","0","0","1.0","1","1","0","1","0","1.64","5.08","3.90","6.08","0.0","0.0","999.0","sa919118"
"Jackson Tetreault","Nationals","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.63","5.87","4.54","6.08","0.0","0.0","999.0","sa3004662"
"Enrique Lechuga","","0","0","5.98","0","0","0","1.0","1","1","0","1","0","1.64","4.76","3.93","6.08","0.0","0.0","999.0","sa455890"
"Brad Markey","","0","0","5.95","0","0","0","1.0","1","1","0","1","0","1.51","5.77","3.14","6.08","0.0","0.0","999.0","sa659004"
"Austin Cox","Royals","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.62","5.86","4.60","6.08","0.0","0.0","999.0","sa3007777"
"Jose Samayoa","","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.60","5.51","4.03","6.09","0.0","0.0","999.0","sa737921"
"Jose Chacin","Dodgers","0","0","5.83","0","0","0","1.0","1","1","0","0","0","1.59","4.45","3.64","6.09","0.0","0.0","999.0","sa917323"
"Aaron Hernandez","Angels","0","0","5.86","0","0","0","1.0","1","1","0","1","1","1.67","6.60","5.35","6.09","0.0","0.0","999.0","sa3008599"
"Nick Vespi","","0","0","5.79","0","0","0","1.0","1","1","0","1","1","1.75","5.67","5.60","6.09","0.0","0.0","999.0","sa875778"
"Wills Montgomerie","Dodgers","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.69","6.84","5.78","6.09","0.0","0.0","999.0","sa915861"
"Jake Walters","Marlins","0","0","5.96","0","0","0","1.0","1","1","0","1","1","1.67","5.58","4.84","6.09","0.0","0.0","999.0","sa915852"
"Ethan Evanko","Phillies","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.64","5.94","4.66","6.10","0.0","0.0","999.0","sa3008037"
"Alex Royalty","Indians","0","0","6.04","0","0","0","1.0","1","1","0","1","1","1.75","5.22","5.25","6.10","0.0","0.0","999.0","sa3006825"
"Shane Dawson","Blue Jays","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.57","5.87","3.74","6.10","0.0","0.0","999.0","sa658332"
"Tyler Herron","","0","0","6.06","0","0","0","1.0","1","1","0","1","0","1.63","5.44","4.09","6.10","0.0","0.0","999.0","sa290174"
"Brett Adcock","","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.63","6.90","5.20","6.10","0.0","0.0","999.0","sa873691"
"Alan Rangel","Braves","0","0","6.03","0","0","0","1.0","1","1","0","1","0","1.65","5.33","4.32","6.10","0.0","0.0","999.0","sa877578"
"Jojanse Torres","Astros","0","0","5.92","0","0","0","1.0","1","1","0","1","1","1.63","7.07","5.09","6.10","0.0","0.0","999.0","sa3006955"
"Jon Sintes","","0","0","6.08","0","0","0","1.0","1","1","0","1","0","1.62","5.14","3.82","6.10","0.0","0.0","999.0","sa527925"
"Jay Groome","Red Sox","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.76","6.34","5.96","6.10","0.0","0.0","999.0","sa917925"
"Ryan Conroy","Orioles","0","0","5.99","0","0","0","1.0","1","1","0","1","1","1.71","4.95","4.69","6.10","0.0","0.0","999.0","sa3007906"
"David Reyes","","0","0","6.03","0","0","0","1.0","1","1","0","1","0","1.64","4.61","3.85","6.11","0.0","0.0","999.0","sa592948"
"Kyle Glogoski","Phillies","0","0","5.87","0","0","0","1.0","1","1","0","1","1","1.61","6.75","4.76","6.11","0.0","0.0","999.0","sa3007464"
"A.J. Griffin","","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.47","6.97","3.26","6.11","0.0","0.0","999.0","11132"
"Ty Culbreth","Rockies","0","0","6.08","0","0","0","1.0","1","1","0","1","0","1.57","5.15","3.21","6.11","0.0","0.0","999.0","sa918095"
"Estevan Gonzalez","","0","0","5.87","0","0","0","1.0","1","1","0","1","1","1.64","6.06","4.66","6.11","0.0","0.0","999.0","sa548554"
"Pedro Vasquez","","0","0","5.96","0","0","0","1.0","1","1","0","1","0","1.50","6.12","3.29","6.11","0.0","0.0","999.0","sa872824"
"Jered Weaver","","0","0","6.02","0","0","0","1.0","1","1","0","1","0","1.49","5.37","2.73","6.11","0.0","0.0","999.0","4235"
"Chase Cohen","Athletics","0","0","5.92","0","0","0","1.0","1","1","0","1","1","1.76","5.32","5.77","6.12","0.0","0.0","999.0","sa3007477"
"Juan Mercedes","Mariners","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.61","5.12","3.92","6.12","0.0","0.0","999.0","sa3002818"
"Chris Mathewson","","0","0","6.04","0","0","0","1.0","1","1","0","1","1","1.68","5.78","4.82","6.12","0.0","0.0","999.0","sa829581"
"Jonathan Vargas","","0","0","6.01","0","0","0","1.0","1","1","0","0","0","1.65","4.44","3.83","6.12","0.0","0.0","999.0","sa503650"
"Hunter Haworth","Red Sox","0","0","6.05","0","0","0","1.0","1","1","0","1","1","1.70","6.31","5.25","6.12","0.0","0.0","999.0","sa3005318"
"Irwin Delgado","","0","0","5.89","0","0","0","1.0","1","1","0","1","1","1.71","5.09","4.96","6.12","0.0","0.0","999.0","sa508063"
"Justin Maese","Blue Jays","0","0","6.08","0","0","0","1.0","1","1","0","1","1","1.74","5.62","5.21","6.13","0.0","0.0","999.0","sa875002"
"Ronny Henriquez","Rangers","0","0","6.09","0","0","0","1.0","1","1","0","1","1","1.66","6.27","4.76","6.13","0.0","0.0","999.0","sa3005835"
"Jon Heasley","Royals","0","0","6.06","0","0","0","1.0","1","1","0","1","1","1.68","5.25","4.74","6.13","0.0","0.0","999.0","sa3007211"
"Edgardo Sandoval","","0","0","6.04","0","0","0","1.0","1","1","0","1","1","1.67","6.23","4.94","6.13","0.0","0.0","999.0","sa830035"
"William Oliver","","0","0","6.13","0","0","0","1.0","1","1","0","1","0","1.61","5.36","3.81","6.13","0.0","0.0","999.0","sa550026"
"Tyler Thomas","Rangers","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.66","6.15","4.87","6.13","0.0","0.0","999.0","sa873974"
