"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Eduardo Rodriguez","Red Sox","5","3","4.18","11","11","0","64.0","60","30","10","67","24","1.31","9.45","3.32","4.26","0.9","1.2","171.6","13164"
"Joe Musgrove","Pirates","3","4","4.44","11","11","0","67.0","71","33","10","58","17","1.30","7.75","2.24","4.34","0.9","0.7","203.6","12970"
"Mitch Keller","Pirates","3","4","4.22","10","10","0","57.0","55","27","7","58","21","1.34","9.12","3.32","4.11","0.9","0.8","233.1","17594"
"Shohei Ohtani","Angels","3","2","3.67","7","7","0","41.0","33","17","5","50","15","1.21","11.12","3.43","3.74","0.9","0.9","130.5","19755"
"Dylan Bundy","Angels","4","4","4.44","11","11","0","66.0","63","32","12","66","20","1.26","8.96","2.67","4.51","0.9","0.8","212.7","12917"
"Dallas Keuchel","White Sox","4","4","4.44","11","11","0","70.0","77","35","9","53","24","1.43","6.78","3.04","4.55","0.9","0.8","281.3","9434"
"Robbie Ray","Diamondbacks","4","4","4.30","11","11","0","65.0","57","31","10","75","30","1.34","10.52","4.17","4.39","0.9","1.0","152.6","11486"
"Masahiro Tanaka","Yankees","4","3","4.58","11","11","0","63.0","67","32","12","55","15","1.29","7.89","2.15","4.68","0.9","0.7","235.3","15764"
"Marcus Stroman","Mets","3","3","4.06","10","10","0","55.0","57","25","6","44","18","1.37","7.22","3.02","4.11","0.8","0.8","233.3","13431"
"Garrett Richards","Padres","3","3","4.05","10","10","0","52.0","49","23","6","50","21","1.35","8.79","3.64","4.13","0.8","0.8","237.8","9784"
"Kyle Hendricks","Cubs","4","4","4.55","11","11","0","67.0","72","34","11","53","16","1.31","7.02","2.17","4.57","0.8","0.8","148.6","12049"
"Zac Gallen","Diamondbacks","4","4","4.28","11","11","0","62.0","58","29","9","64","23","1.29","9.30","3.30","4.30","0.8","0.9","121.8","19291"
"Nathan Eovaldi","Red Sox","4","3","4.24","11","11","0","59.0","58","28","9","57","19","1.30","8.68","2.95","4.28","0.8","1.0","269.2","9132"
"Marco Gonzales","Mariners","4","5","4.52","12","12","0","72.0","76","36","12","55","19","1.33","6.89","2.39","4.71","0.8","0.8","496.0","15467"
"Josh James","Astros","4","2","4.00","8","14","0","50.0","41","22","7","62","23","1.29","11.06","4.19","4.10","0.8","0.8","217.8","16794"
"Chris Bassitt","Athletics","4","3","4.30","9","16","0","58.0","55","28","8","54","19","1.28","8.34","3.00","4.41","0.8","0.7","382.0","12304"
"Jake Odorizzi","Twins","4","3","4.65","11","11","0","61.0","58","31","11","62","22","1.32","9.28","3.22","4.69","0.8","0.8","178.0","6397"
"Jose Urquidy","Astros","4","3","4.32","9","9","0","50.0","49","24","9","50","13","1.23","8.88","2.33","4.37","0.8","0.7","274.2","18413"
"Julio Urias","Dodgers","4","3","4.12","10","13","0","59.0","54","27","8","60","25","1.32","9.15","3.73","4.41","0.8","0.8","124.7","14765"
"Pablo Lopez","Marlins","3","4","4.28","10","10","0","58.0","60","28","8","47","17","1.31","7.33","2.63","4.39","0.7","0.7","461.3","17085"
"Kenta Maeda","Twins","4","3","4.72","11","14","0","63.0","62","33","11","63","23","1.34","8.99","3.27","4.71","0.7","0.7","141.9","18498"
"Rich Hill","Twins","4","3","4.44","10","10","0","52.0","49","26","9","54","19","1.30","9.34","3.26","4.54","0.7","0.8","179.4","4806"
"Madison Bumgarner","Diamondbacks","4","5","4.72","12","12","0","74.0","76","39","13","66","20","1.30","8.09","2.44","4.73","0.7","0.8","139.2","5524"
"Martin Perez","Red Sox","4","4","4.63","11","11","0","66.0","72","34","9","52","24","1.44","7.02","3.22","4.66","0.7","0.8","571.5","6902"
"Miles Mikolas","Cardinals","3","4","4.42","10","10","0","59.0","64","29","9","44","12","1.29","6.67","1.82","4.39","0.7","0.6","275.3","9803"
"Dylan Cease","White Sox","3","3","4.46","9","9","0","50.0","47","25","7","53","23","1.41","9.46","4.22","4.56","0.7","0.6","268.1","18525"
"Luke Weaver","Diamondbacks","3","3","4.40","10","10","0","53.0","52","26","8","52","17","1.30","8.75","2.92","4.42","0.7","0.7","194.6","16918"
"Spencer Turnbull","Tigers","3","3","4.55","9","14","0","54.0","54","27","8","50","20","1.38","8.33","3.37","4.49","0.7","0.6","445.0","16207"
"Josh Lindblom","Brewers","3","4","4.76","10","10","0","62.0","64","33","11","57","18","1.32","8.26","2.65","4.73","0.7","0.6","340.9","7882"
"Yonny Chirinos","Rays","3","3","4.34","9","13","0","55.0","56","26","8","47","15","1.30","7.75","2.51","4.45","0.7","0.7","308.2","16401"
"Alex Cobb","Orioles","3","5","5.14","11","11","0","68.0","78","39","13","49","20","1.43","6.46","2.60","5.18","0.7","0.5","595.9","6562"
"Austin Voth","Nationals","3","3","4.54","8","10","0","49.0","49","25","8","43","17","1.35","7.86","3.17","4.72","0.6","0.7","372.0","15047"
"Yusei Kikuchi","Mariners","3","4","4.63","11","11","0","64.0","67","33","11","53","21","1.36","7.37","2.89","4.81","0.6","0.6","503.0","20633"
"Joey Lucchesi","Padres","3","4","4.49","11","11","0","62.0","62","31","9","55","22","1.38","8.03","3.28","4.58","0.6","0.7","273.0","19320"
"Kevin Gausman","Giants","3","4","4.29","10","10","0","54.0","54","26","8","47","17","1.31","7.83","2.78","4.33","0.6","0.6","445.3","14107"
"Anthony DeSclafani","Reds","3","4","4.76","10","10","0","53.0","55","28","10","49","16","1.33","8.27","2.68","4.71","0.6","0.6","252.4","13050"
"J.A. Happ","Yankees","4","3","4.78","10","10","0","57.0","58","30","11","52","19","1.35","8.33","2.94","4.92","0.6","0.6","335.0","7410"
"Adrian Houser","Brewers","3","3","4.58","10","11","0","53.0","55","27","7","46","20","1.41","7.85","3.41","4.53","0.6","0.6","229.0","12718"
"Michael Fulmer","Tigers","3","3","4.61","8","8","0","45.0","47","23","7","39","14","1.35","7.75","2.77","4.57","0.6","0.6","569.8","13218"
"Danny Duffy","Royals","4","4","4.81","11","11","0","68.0","70","36","12","59","24","1.37","7.74","3.13","4.91","0.6","0.8","561.2","3542"
"Brendan McKay","Rays","3","2","3.87","7","8","0","37.0","33","16","6","41","12","1.22","9.91","2.97","4.04","0.6","0.7","446.0","20186"
"Brad Keller","Royals","4","4","4.78","11","11","0","65.0","69","34","8","49","27","1.48","6.81","3.80","4.79","0.6","0.8","576.6","15734"
"Jordan Lyles","Rangers","3","4","5.00","10","11","0","54.0","56","30","10","48","21","1.41","8.07","3.46","4.97","0.6","0.7","555.0","7593"
"Jon Lester","Cubs","4","4","4.93","11","11","0","66.0","71","36","11","55","22","1.41","7.49","3.06","4.87","0.6","0.5","524.8","4930"
"Sean Manaea","Athletics","3","3","4.47","9","9","0","52.0","53","26","8","43","15","1.31","7.51","2.60","4.60","0.6","0.6","181.9","15873"
"Rick Porcello","Mets","3","4","4.83","11","11","0","67.0","71","36","12","56","18","1.34","7.53","2.45","4.81","0.6","0.4","476.0","2717"
"Cole Hamels","Braves","3","3","4.41","9","9","0","51.0","51","25","7","47","18","1.35","8.31","3.15","4.44","0.6","0.6","441.8","4972"
"Alex Wood","Dodgers","3","3","4.27","10","10","0","54.0","56","26","8","43","16","1.32","7.20","2.60","4.49","0.6","0.6","229.0","13781"
"Steven Matz","Mets","3","4","4.57","11","11","0","60.0","61","30","9","54","20","1.35","8.14","3.05","4.60","0.6","0.5","301.2","13361"
"Johnny Cueto","Giants","3","4","4.45","11","11","0","64.0","66","32","9","50","19","1.34","7.12","2.73","4.58","0.6","0.7","330.8","6893"
"A.J. Puk","Athletics","2","2","3.98","5","7","0","33.0","28","14","4","36","14","1.30","9.95","3.89","4.19","0.6","0.5","279.7","19343"
"Kyle Freeland","Rockies","3","4","5.17","10","10","0","57.0","64","33","9","44","22","1.50","6.90","3.45","5.05","0.6","0.7","589.3","16256"
"Jakob Junis","Royals","3","4","4.85","10","10","0","59.0","62","32","10","52","18","1.34","7.91","2.74","4.77","0.6","0.7","581.1","13619"
"Reynaldo Lopez","White Sox","4","4","5.00","10","10","0","59.0","59","33","12","55","21","1.36","8.35","3.14","5.10","0.6","0.4","342.2","16400"
"Corbin Burnes","Brewers","3","3","4.63","8","14","0","50.0","50","26","8","47","21","1.40","8.43","3.70","4.69","0.6","0.5","290.0","19361"
"Josh Hader","Brewers","2","1","3.10","0","28","9","28.0","19","10","4","43","11","1.07","14.03","3.63","3.17","0.6","0.6","42.7","14212"
"Griffin Canning","Angels","3","2","4.26","7","7","0","40.0","38","19","6","41","13","1.27","9.24","2.97","4.34","0.5","0.6","298.4","19867"
"Brett Anderson","Brewers","3","4","4.70","10","10","0","54.0","63","28","7","32","16","1.46","5.41","2.63","4.71","0.5","0.5","591.6","8223"
"Wade Miley","Reds","3","4","4.68","10","10","0","54.0","59","28","8","44","22","1.48","7.21","3.60","4.78","0.5","0.5","548.8","8779"
"Aaron Civale","Indians","3","3","4.74","9","9","0","51.0","55","27","9","40","13","1.33","6.99","2.32","4.81","0.5","0.6","236.3","19479"
"Dustin May","Dodgers","3","2","4.07","7","12","0","43.0","43","19","5","36","13","1.29","7.46","2.62","4.25","0.5","0.6","248.1","19716"
