"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Charlie Morton","Rays","8","5","0","0","3.42","20","20","117.0","100","44","11","134","46","1.24","10.30","3.51","3.52","2.2","4676"
"Aaron Nola","Phillies","8","6","0","0","3.57","21","21","124.0","112","49","14","135","38","1.20","9.77","2.72","3.52","2.4","16149"
"Justin Wilson","Mets","2","2","0","5","3.48","0","27","27.0","22","11","3","34","14","1.30","11.42","4.50","3.53","0.1","4301"
"Sam Dyson","Giants","2","2","0","8","3.49","0","36","36.0","35","14","3","31","11","1.28","7.77","2.87","3.53","0.1","11710"
"Archie Bradley","Diamondbacks","3","2","6","9","3.66","0","47","47.0","42","19","5","53","18","1.27","10.16","3.46","3.53","0.6","12918"
"Jace Fry","White Sox","2","2","1","10","3.62","0","41","41.0","34","16","4","49","20","1.33","10.92","4.48","3.54","0.5","16159"
"Hector Neris","Phillies","2","2","19","4","3.51","0","44","44.0","35","17","6","59","16","1.18","12.14","3.32","3.54","0.7","11804"
"Tommy Kahnle","Yankees","2","2","1","9","3.64","0","41","41.0","33","16","5","53","19","1.28","11.70","4.19","3.54","0.5","11384"
"A.J. Minter","Braves","1","1","1","1","3.58","0","20","20.0","17","8","2","24","9","1.28","10.77","3.84","3.55","0.0","18655"
"Joe Kelly","Dodgers","2","2","1","9","3.58","0","37","37.0","32","15","3","40","15","1.28","9.62","3.67","3.56","0.2","9761"
"Ty Buttrey","Angels","3","2","18","2","3.55","0","44","44.0","38","17","4","49","18","1.28","9.99","3.73","3.56","0.7","14719"
"Hyun-Jin Ryu","Dodgers","9","6","0","0","3.48","20","20","115.0","111","45","15","114","23","1.16","8.92","1.77","3.56","1.9","14444"
"Oliver Drake","Rays","0","0","0","0","3.66","0","3","3.0","3","1","0","4","1","1.27","10.03","3.49","3.57","0.0","8823"
"Shane Bieber","Indians","7","5","0","0","3.79","19","19","110.0","109","47","14","108","22","1.19","8.79","1.80","3.58","2.2","19427"
"Raisel Iglesias","Reds","3","2","22","3","3.44","0","44","44.0","37","17","6","53","15","1.18","10.87","3.14","3.58","0.8","17130"
"Scott Alexander","Dodgers","2","1","0","6","3.45","0","30","30.0","29","12","2","26","11","1.33","7.77","3.39","3.59","0.1","10591"
"Luis Severino","Yankees","4","2","0","0","3.55","9","9","51.0","44","20","7","59","15","1.15","10.37","2.61","3.60","1.1","15890"
"Craig Stammen","Padres","3","3","3","9","3.72","0","44","44.0","42","18","5","43","12","1.22","8.87","2.39","3.60","0.4","7274"
"Trevor Bauer","Indians","9","6","0","0","3.67","22","22","136.0","118","55","15","158","52","1.25","10.50","3.44","3.60","2.7","12703"
"Jeremy Jeffress","Brewers","2","2","2","9","3.50","0","40","40.0","36","16","4","41","16","1.30","9.30","3.52","3.61","0.3","9490"
"Austin Adams","Mariners","1","1","0","3","3.46","0","23","23.0","17","9","2","32","14","1.35","12.57","5.60","3.61","0.1","13801"
"Tyler Glasnow","Rays","5","4","0","0","3.68","13","13","77.0","64","31","9","93","34","1.28","10.91","3.97","3.63","1.3","14374"
"Tony Watson","Giants","3","2","1","9","3.45","0","41","41.0","38","16","4","38","11","1.20","8.38","2.44","3.63","0.2","3132"
"Andrew Chafin","Diamondbacks","2","2","1","9","3.59","0","37","37.0","33","15","3","40","17","1.34","9.61","4.16","3.63","0.3","12988"
"Steven Okert","Giants","0","0","0","0","3.50","0","3","3.0","3","1","0","4","1","1.18","10.04","2.98","3.65","0.0","13580"
"Mike Soroka","Braves","7","5","0","0","3.66","16","16","94.0","92","38","9","84","27","1.27","8.02","2.61","3.65","1.5","18383"
"German Marquez","Rockies","8","6","0","0","3.88","21","21","126.0","122","54","16","135","34","1.23","9.60","2.41","3.65","2.5","15038"
"Zack Wheeler","Mets","7","6","0","0","3.67","20","20","120.0","110","49","13","124","41","1.25","9.24","3.03","3.65","2.1","10310"
"Julio Urias","Dodgers","3","2","0","1","3.55","7","23","55.0","47","22","6","63","21","1.25","10.28","3.49","3.65","0.6","14765"
"Lou Trivino","Athletics","3","2","3","9","3.60","0","47","47.0","40","19","4","49","20","1.30","9.44","3.92","3.66","0.6","15043"
"Hector Rondon","Astros","2","2","1","10","3.76","0","37","37.0","34","15","4","39","12","1.25","9.51","2.90","3.66","0.3","2391"
"Brandon Morrow","Cubs","1","1","1","4","3.65","0","14","14.0","12","6","2","15","5","1.25","9.58","3.15","3.67","0.0","9346"
"Joe Jimenez","Tigers","3","3","3","8","3.84","0","45","45.0","38","19","6","54","18","1.25","10.98","3.57","3.68","0.7","15761"
"Brad Peacock","Astros","7","5","0","0","3.74","14","34","101.0","89","42","13","119","37","1.24","10.54","3.29","3.69","1.5","5401"
"Jimmie Sherfy","Diamondbacks","1","1","0","1","3.68","0","24","24.0","20","10","3","28","10","1.29","10.55","3.93","3.70","0.0","15118"
"Jose Castillo","Padres","0","0","0","0","3.54","0","3","3.0","3","1","0","4","2","1.26","11.12","4.04","3.70","0.0","17169"
"Jameson Taillon","Pirates","3","2","0","0","3.81","8","8","45.0","44","19","5","41","10","1.23","8.19","2.07","3.71","0.8","11674"
"Ryne Stanek","Rays","3","2","0","7","3.67","3","41","58.0","47","23","7","71","25","1.26","11.14","3.90","3.71","0.6","15947"
"Juan Nicasio","Phillies","2","2","1","12","3.81","0","40","40.0","38","17","5","44","14","1.29","9.85","3.17","3.72","0.3","7731"
"Carson Smith","Red Sox","0","0","0","0","3.77","0","3","3.0","3","1","0","3","1","1.32","9.19","3.60","3.73","0.0","13172"
"Ryan Madson","","1","1","0","0","3.79","0","20","20.0","18","8","2","21","6","1.23","9.29","2.83","3.73","0.2","1852"
"Robbie Erlin","Padres","2","2","0","7","3.85","2","36","46.0","46","20","6","42","9","1.20","8.11","1.83","3.74","0.3","10354"
"Dan Winkler","Braves","2","1","3","8","3.81","0","40","40.0","36","17","5","45","16","1.29","10.07","3.49","3.75","0.4","12237"
"Colten Brewer","Red Sox","2","2","0","7","3.93","0","34","34.0","32","15","3","33","14","1.37","8.83","3.67","3.76","0.2","12997"
"Darren O'Day","Braves","0","0","0","0","3.79","0","3","3.0","3","1","0","4","1","1.24","10.46","3.28","3.76","0.0","3321"
"Richard Lovelady","Royals","1","1","0","6","3.75","0","31","31.0","29","13","3","27","12","1.33","7.97","3.39","3.78","0.2","19337"
"Oliver Perez","Indians","1","1","0","6","3.56","0","31","31.0","26","12","4","36","10","1.20","10.63","3.04","3.78","0.2","1514"
"David Hernandez","Reds","2","2","0","8","3.76","0","37","37.0","34","16","5","40","12","1.24","9.69","2.98","3.79","0.3","4259"
"Hector Noesi","Marlins","0","0","0","1","3.74","0","7","7.0","6","3","1","7","2","1.21","9.74","2.91","3.79","0.0","3292"
"Wade Davis","Rockies","3","2","21","2","3.84","0","41","41.0","35","18","5","50","20","1.33","10.92","4.38","3.79","0.5","7441"
"John Brebbia","Cardinals","3","2","3","10","3.74","0","44","44.0","39","18","6","51","14","1.20","10.31","2.89","3.80","0.4","12777"
"Alex Colome","White Sox","3","2","22","2","3.78","0","44","44.0","41","19","5","45","15","1.28","9.11","3.08","3.80","0.5","6661"
"Trevor Rosenthal","Nationals","1","1","0","1","3.81","0","13","13.0","11","6","1","17","8","1.44","11.58","5.30","3.80","0.0","10745"
"Nick Burdi","Pirates","0","0","0","1","3.56","0","3","3.0","3","1","0","4","2","1.34","11.02","4.26","3.81","0.0","16074"
"Robbie Ray","Diamondbacks","6","6","0","0","3.86","20","20","112.0","94","48","14","144","55","1.33","11.54","4.39","3.81","1.7","11486"
"Joey Lucchesi","Padres","7","7","0","0","3.87","20","20","113.0","108","49","14","117","36","1.28","9.31","2.90","3.81","1.6","19320"
"Chris Devenski","Astros","2","2","1","10","3.83","0","43","43.0","39","18","6","47","12","1.17","9.84","2.57","3.81","0.3","12763"
"Luis Castillo","Reds","7","6","0","0","3.76","20","20","112.0","100","47","14","121","37","1.23","9.72","3.01","3.81","1.9","15689"
"Jack Flaherty","Cardinals","8","6","0","0","3.75","20","20","114.0","99","47","15","130","41","1.23","10.27","3.22","3.82","1.8","17479"
"Ross Stripling","Dodgers","5","4","0","2","3.81","9","29","71.0","69","30","10","70","18","1.23","8.86","2.26","3.82","0.8","13273"
"Mike Clevinger","Indians","7","5","0","0","3.81","16","16","96.0","84","41","12","107","37","1.27","10.05","3.50","3.82","1.7","12808"
"Zack Greinke","Diamondbacks","9","8","0","0","3.81","22","22","137.0","131","58","19","130","31","1.19","8.57","2.05","3.82","2.1","1943"
"David Price","Red Sox","8","5","0","0","3.91","19","19","106.0","102","46","14","108","29","1.23","9.11","2.44","3.83","1.8","3184"
"Brad Wieck","Padres","2","2","0","7","3.79","0","34","34.0","28","14","4","43","16","1.30","11.58","4.25","3.83","0.1","16390"
"Seth Lugo","Mets","2","2","1","8","3.85","0","37","37.0","35","16","5","39","10","1.22","9.28","2.43","3.83","0.1","12447"
"Marcus Walden","Red Sox","2","2","0","7","3.95","0","34","34.0","33","15","3","30","12","1.35","7.92","3.33","3.83","0.2","8004"
"Pedro Baez","Dodgers","3","2","3","9","3.73","0","44","44.0","38","18","5","47","16","1.24","9.63","3.23","3.83","0.4","5420"
"Chris Archer","Pirates","7","7","0","0","4.09","21","21","121.0","117","55","15","128","43","1.33","9.54","3.21","3.83","1.9","6345"
"Emilio Pagan","Rays","2","2","1","13","3.75","0","45","45.0","39","19","6","52","15","1.20","10.46","3.03","3.84","0.4","14771"
"Pedro Strop","Cubs","3","2","1","11","3.72","0","38","38.0","32","16","4","40","16","1.29","9.57","3.85","3.84","0.2","4070"
"Jordan Hicks","Cardinals","2","2","5","13","3.67","0","37","37.0","32","15","2","38","21","1.44","9.23","5.12","3.85","0.2","19618"
"Brad Brach","Cubs","3","2","3","10","3.82","0","45","45.0","39","19","4","46","23","1.39","9.34","4.63","3.85","0.4","6627"
"Tyler Duffey","Twins","1","1","0","0","4.04","0","17","17.0","16","8","2","17","5","1.26","9.14","2.59","3.85","0.0","13758"
"Fernando Abad","Giants","0","0","0","0","3.69","0","7","7.0","6","3","1","7","2","1.26","8.98","3.17","3.85","0.0","4994"
"Adam Ottavino","Yankees","3","2","17","2","3.81","0","44","44.0","34","19","5","59","24","1.31","12.13","4.99","3.86","0.6","1247"
"Amir Garrett","Reds","2","2","3","9","3.72","0","44","44.0","37","18","6","54","19","1.27","10.95","3.87","3.86","0.4","14375"
"Kenta Maeda","Dodgers","6","5","0","0","3.89","15","15","86.0","80","37","12","92","27","1.24","9.55","2.84","3.86","1.2","18498"
"Sonny Gray","Reds","7","7","0","0","3.93","21","21","120.0","110","52","14","121","46","1.31","9.13","3.48","3.86","2.0","12768"
"Mychal Givens","Orioles","2","2","21","1","3.84","0","44","44.0","38","19","5","49","19","1.29","10.10","3.81","3.86","0.6","10430"
"Alex Claudio","Brewers","2","2","1","11","3.81","0","43","43.0","46","18","4","31","11","1.31","6.46","2.30","3.86","0.3","12890"
"Caleb Ferguson","Dodgers","2","1","0","5","3.69","0","30","30.0","27","12","3","34","13","1.31","9.96","3.83","3.87","0.0","19349"
"Xavier Cedeno","Cubs","0","0","0","1","3.79","0","7","7.0","6","3","1","6","3","1.40","8.36","4.11","3.88","0.0","36"
"Jose Quintana","Cubs","9","7","0","0","3.86","21","21","123.0","118","53","15","116","40","1.28","8.48","2.94","3.88","1.8","11423"
"Robert Gsellman","Mets","2","2","1","12","3.83","0","44","44.0","43","19","5","40","15","1.32","8.08","3.09","3.88","0.2","13696"
"Joshua James","Astros","3","2","0","7","3.88","2","39","49.0","41","21","6","60","23","1.32","11.01","4.29","3.89","0.4","16794"
"Steve Cishek","Cubs","3","2","20","2","3.66","0","45","45.0","39","18","5","48","19","1.29","9.69","3.80","3.89","0.3","6483"
"Rich Hill","Dodgers","7","5","0","0","3.73","16","16","93.0","79","39","14","107","29","1.17","10.33","2.86","3.89","1.3","4806"
"Lewis Thorpe","Twins","0","0","0","0","3.79","0","3","3.0","3","1","1","4","1","1.19","10.16","2.85","3.89","0.0","sa739599"
"Grant Dayton","Braves","0","0","0","1","3.87","0","3","3.0","3","1","0","4","1","1.25","10.04","3.24","3.90","0.0","11203"
"Dallas Keuchel","","9","8","0","0","3.84","24","24","151.0","156","64","16","123","48","1.35","7.32","2.86","3.90","2.2","9434"
"Madison Bumgarner","Giants","7","8","0","0","3.83","22","22","137.0","129","58","19","133","34","1.20","8.75","2.27","3.91","1.5","5524"
"Sammy Solis","Padres","0","0","0","0","3.73","0","2","2.0","2","1","0","2","1","1.30","10.03","3.87","3.91","0.0","11457"
"Daniel Zamora","Mets","1","1","0","7","3.84","0","34","34.0","30","14","4","37","15","1.34","9.85","4.08","3.91","0.1","17811"
"Carlos Martinez","Cardinals","5","4","0","4","3.81","10","30","78.0","73","33","8","75","32","1.34","8.71","3.66","3.91","0.8","11682"
"Luis Avilan","Mets","1","1","0","0","3.86","0","20","20.0","19","9","2","21","9","1.36","9.29","3.89","3.91","0.0","2882"
"Andrew Vasquez","Twins","0","0","0","0","3.82","0","7","7.0","6","3","1","8","3","1.37","10.13","4.45","3.91","0.0","19482"
"J.B. Wendelken","Athletics","1","1","0","4","3.91","0","27","27.0","25","12","3","28","10","1.32","9.40","3.52","3.91","0.0","14506"
"Chaz Roe","Rays","2","2","1","9","3.90","0","41","41.0","36","18","4","45","19","1.34","9.77","4.17","3.92","0.2","9866"
"Kyle Hendricks","Cubs","9","6","0","0","3.86","21","21","127.0","125","54","16","109","31","1.23","7.77","2.22","3.92","1.9","12049"
"Collin McHugh","Astros","3","2","0","3","3.90","2","29","39.0","36","17","5","40","12","1.23","9.30","2.70","3.93","0.2","7531"
"Jon Gray","Rockies","7","7","0","0","4.33","20","20","112.0","111","54","15","119","37","1.32","9.59","2.98","3.93","1.9","14916"
"Phil Maton","Padres","1","1","0","4","3.95","0","30","30.0","28","13","4","33","10","1.27","9.68","3.10","3.94","0.0","18064"
"Brandon Woodruff","Brewers","6","5","0","0","4.03","17","17","99.0","92","44","12","103","36","1.30","9.42","3.26","3.94","1.3","16162"
"Nick Vincent","Giants","2","2","0","7","3.99","0","35","35.0","34","16","5","33","10","1.24","8.33","2.47","3.94","0.0","7555"
"Tony Barnette","Cubs","0","0","0","1","3.93","0","7","7.0","6","3","1","7","2","1.29","9.03","3.16","3.94","0.0","3555"
"Eduardo Rodriguez","Red Sox","8","6","0","0","4.10","20","20","112.0","106","51","15","118","39","1.28","9.50","3.10","3.94","1.5","13164"
"Marcus Stroman","Blue Jays","7","7","0","0","4.14","21","21","121.0","127","56","12","96","41","1.38","7.14","3.04","3.95","1.7","13431"
"Brian Moran","Marlins","0","0","0","1","3.75","0","7","7.0","6","3","1","7","3","1.29","9.51","3.63","3.95","0.0","sa501495"
"Tanner Scott","Orioles","1","2","0","4","3.96","0","30","30.0","25","13","3","38","20","1.48","11.41","5.95","3.95","0.1","17586"
"JT Chargois","Dodgers","1","1","0","1","3.86","0","10","10.0","9","4","1","11","5","1.37","9.45","4.25","3.95","0.0","13767"
"Sergio Romo","Marlins","2","2","21","3","4.03","0","45","45.0","42","20","6","47","16","1.28","9.51","3.13","3.95","0.2","9817"
"Ryne Harper","Twins","2","2","1","9","4.01","0","41","41.0","40","18","5","39","13","1.29","8.52","2.82","3.96","0.3","12680"
"Trevor May","Twins","2","2","3","10","3.97","0","41","41.0","37","18","5","45","17","1.34","9.88","3.86","3.96","0.4","6398"
"Miles Mikolas","Cardinals","8","7","0","0","3.98","21","21","126.0","132","56","16","100","25","1.25","7.12","1.80","3.96","1.6","9803"
"Joe Musgrove","Pirates","8","8","0","0","4.10","21","21","125.0","130","57","15","104","31","1.28","7.49","2.20","3.96","1.7","12970"
"Tommy Hunter","Phillies","1","1","0","1","3.94","0","17","17.0","16","7","2","16","5","1.26","8.74","2.74","3.97","0.0","1157"
"Jonathan Holder","Yankees","2","2","0","7","3.95","0","37","37.0","35","16","5","37","12","1.25","9.02","2.84","3.97","0.2","16588"
"Donnie Hart","Brewers","0","0","0","0","4.04","0","10","10.0","10","4","1","8","4","1.39","7.35","3.27","3.97","0.0","15306"
"Nick Wittgren","Indians","2","2","1","8","4.05","0","37","37.0","37","17","5","36","11","1.28","8.64","2.60","3.97","0.2","15594"
"Yoan Lopez","Diamondbacks","2","2","0","8","4.08","0","34","34.0","30","15","4","38","16","1.36","10.17","4.21","3.97","0.1","17181"
"James Karinchak","Indians","1","1","0","0","3.85","0","14","14.0","11","6","2","17","8","1.35","11.58","5.04","3.98","0.0","sa915662"
"Aaron Bummer","White Sox","2","2","0","7","3.86","0","37","37.0","35","16","3","35","17","1.40","8.49","4.14","3.98","0.1","16258"
"Dinelson Lamet","Padres","1","1","0","0","3.96","3","5","21.0","18","9","3","24","9","1.29","10.49","3.89","3.99","0.2","17186"
"Chris Martin","Rangers","2","2","3","9","4.15","0","45","45.0","47","21","6","41","11","1.30","8.23","2.28","3.99","0.4","11847"
"Masahiro Tanaka","Yankees","8","6","0","0","3.98","21","21","124.0","120","55","19","119","28","1.19","8.66","2.03","3.99","2.1","15764"
"Adam Morgan","Phillies","2","2","1","9","4.07","0","37","37.0","35","17","5","39","14","1.32","9.46","3.36","3.99","0.2","12580"
"Dillon Maples","Cubs","0","0","0","1","3.88","0","7","7.0","5","3","0","10","6","1.61","13.51","8.15","4.00","0.0","14672"
"Derek Law","Blue Jays","2","1","0","4","4.11","0","30","30.0","29","14","4","29","11","1.33","8.68","3.29","4.00","0.0","13133"
"Kevin Gausman","Braves","7","6","0","0","4.06","21","21","118.0","116","53","15","111","36","1.29","8.44","2.77","4.00","1.5","14107"
"Jacob Barnes","Brewers","1","1","0","6","4.01","0","30","30.0","28","13","3","30","14","1.41","9.10","4.17","4.00","0.1","12323"
"Austin Davis","Phillies","0","0","0","1","3.96","0","7","7.0","6","3","1","7","3","1.33","9.73","3.72","4.00","0.0","17117"
"Matt Bowman","Reds","0","0","0","0","3.96","0","7","7.0","6","3","1","7","3","1.36","8.83","3.68","4.01","0.0","13528"
"Josh Sborz","Dodgers","0","0","0","1","3.88","0","7","7.0","6","3","1","7","3","1.27","9.61","3.40","4.02","0.0","sa827472"
"Scott Oberg","Rockies","3","2","1","13","4.18","0","45","45.0","44","21","5","40","17","1.39","8.16","3.53","4.02","0.3","13911"
"Dan Otero","Indians","1","1","0","8","4.16","0","37","37.0","42","17","4","24","6","1.29","5.79","1.55","4.03","0.1","7385"
"Jalen Beeks","Rays","2","2","0","3","3.93","0","31","31.0","29","14","4","32","12","1.31","9.31","3.49","4.03","0.0","17192"
"Brandon Workman","Red Sox","3","2","1","9","4.10","0","40","40.0","37","18","5","44","18","1.37","9.78","4.04","4.03","0.1","11428"
"Andrew Triggs","Athletics","0","0","0","0","4.08","0","3","3.0","3","2","0","3","1","1.30","8.63","3.08","4.03","0.0","13533"
"Max Fried","Braves","7","6","0","0","3.97","17","17","100.0","94","44","11","102","46","1.40","9.14","4.13","4.03","1.1","13743"
"Kyle Crick","Pirates","2","2","3","10","3.89","0","45","45.0","40","19","4","46","23","1.41","9.29","4.60","4.04","0.2","13182"
"Dylan Floro","Dodgers","2","2","1","11","3.97","0","40","40.0","42","18","5","32","10","1.29","7.11","2.34","4.04","0.1","13394"
"Caleb Smith","Marlins","6","7","0","0","4.05","20","20","117.0","103","53","16","132","47","1.28","10.17","3.60","4.04","1.5","14875"
"Framber Valdez","Astros","2","2","0","5","3.89","0","33","33.0","31","14","3","33","16","1.39","8.84","4.22","4.04","0.0","17295"
"Sam Coonrod","Giants","0","0","0","0","3.90","0","3","3.0","3","1","0","4","1","1.32","9.45","3.96","4.05","0.0","17264"
"Zac Rosscup","Blue Jays","1","1","0","0","4.14","0","20","20.0","17","9","3","25","11","1.39","11.31","4.72","4.05","0.0","9419"
"Adam Kolarek","Rays","2","2","0","9","3.84","0","41","41.0","42","18","3","32","16","1.40","6.97","3.55","4.05","0.1","10843"
"Wander Suero","Nationals","2","2","1","12","4.10","0","40","40.0","38","18","5","41","15","1.33","9.18","3.41","4.05","0.1","15855"
"Tony Cingrani","Dodgers","1","0","0","1","3.75","0","10","10.0","9","4","1","11","4","1.28","10.05","3.75","4.05","0.0","12555"
"Luis Perdomo","Padres","1","1","0","0","4.23","0","11","11.0","11","5","1","9","4","1.40","7.80","3.02","4.05","0.0","14682"
"Cam Bedrosian","Angels","3","2","1","9","3.96","0","41","41.0","38","18","5","40","17","1.37","8.88","3.86","4.06","0.2","13360"
"Tim Mayza","Blue Jays","2","2","1","10","4.07","0","40","40.0","36","18","5","45","20","1.39","10.10","4.43","4.06","0.2","15042"
"Yoshihisa Hirano","Diamondbacks","2","2","1","11","4.06","0","40","40.0","39","18","5","39","15","1.33","8.65","3.30","4.06","0.2","19756"
"Trevor Hildenberger","Twins","2","2","0","4","4.10","0","31","31.0","31","14","4","28","9","1.30","8.13","2.68","4.06","0.0","17002"
"J. D. Hammer","Phillies","1","0","0","1","4.01","0","10","10.0","9","4","1","11","4","1.30","10.00","3.67","4.06","0.0","19548"
"Joel Payamps","Diamondbacks","0","0","0","1","4.09","0","3","3.0","3","2","0","3","1","1.24","8.75","2.59","4.06","0.0","sa597219"
"Cole Hamels","Cubs","7","6","0","0","3.89","20","20","118.0","108","51","14","114","42","1.27","8.70","3.22","4.06","1.6","4972"
"Austin Pruitt","Rays","1","1","0","0","4.18","0","17","17.0","18","8","2","14","4","1.28","7.43","2.13","4.06","0.0","15290"
"Trey Wingenter","Padres","2","2","1","11","4.06","0","40","40.0","33","18","5","52","23","1.40","11.54","5.17","4.07","0.0","17793"
"Luke Weaver","Diamondbacks","6","7","0","0","4.23","19","19","106.0","105","50","15","105","33","1.31","8.92","2.85","4.07","1.4","16918"
"Carl Edwards Jr.","Cubs","2","2","0","8","4.06","0","38","38.0","29","17","4","49","23","1.39","11.71","5.58","4.07","0.1","13607"
"Heath Hembree","Red Sox","2","2","1","11","4.16","0","40","40.0","37","19","6","46","16","1.32","10.25","3.63","4.07","0.1","11632"
"Pablo Lopez","Marlins","4","5","0","0","3.99","15","15","83.0","83","37","10","70","23","1.28","7.56","2.51","4.07","0.9","17085"
"Drew Steckenrider","Marlins","1","1","0","0","4.07","0","14","14.0","12","6","2","16","6","1.34","10.48","4.06","4.07","0.0","18806"
"Greg Holland","Diamondbacks","2","2","18","5","4.28","0","44","44.0","38","21","4","49","26","1.47","10.18","5.37","4.08","0.2","7196"
"Tyler Olson","Indians","1","1","0","4","3.99","0","27","27.0","25","12","3","27","11","1.35","9.10","3.72","4.09","0.0","14741"
"David Phelps","Blue Jays","1","1","0","2","4.10","0","24","24.0","22","11","3","25","9","1.30","9.59","3.28","4.09","0.0","6316"
"Jose Berrios","Twins","9","7","0","0","4.16","22","22","131.0","125","61","18","128","39","1.25","8.79","2.69","4.10","2.1","14168"
"Frankie Montas","Athletics","6","6","0","0","4.11","15","22","94.0","95","43","11","82","32","1.35","7.82","3.09","4.10","1.1","14309"
"Shane Greene","Tigers","3","3","22","2","4.21","0","45","45.0","43","21","6","44","16","1.33","8.96","3.27","4.10","0.4","10756"
"Drew Gagnon","Mets","1","2","0","4","4.13","0","27","27.0","26","12","4","27","10","1.29","9.09","3.16","4.10","0.0","12545"
"Justin Grimm","Dodgers","0","0","0","1","4.04","0","3","3.0","3","2","0","4","1","1.32","9.90","3.77","4.10","0.0","11720"
"Yu Darvish","Cubs","6","6","0","0","4.14","18","18","101.0","88","46","14","117","44","1.31","10.46","3.91","4.10","1.3","13074"
"Michael Feliz","Pirates","1","2","0","4","4.32","0","28","28.0","25","13","4","32","13","1.39","10.51","4.24","4.10","0.0","11903"
"Zac Gallen","Marlins","4","5","0","0","4.02","12","12","70.0","65","31","10","69","24","1.26","8.84","3.04","4.10","0.8","sa857550"
"Miguel Diaz","Padres","1","1","0","0","3.98","0","15","15.0","13","7","2","17","7","1.35","10.09","4.39","4.11","0.0","18815"
"Matt Andriese","Diamondbacks","2","2","0","6","4.28","0","30","30.0","30","14","4","30","9","1.30","9.01","2.77","4.11","0.0","12022"
"Matt Strahm","Padres","5","6","0","0","4.04","16","16","95.0","90","43","13","95","31","1.28","9.00","2.94","4.11","1.1","13799"
"Jose Alvarez","Phillies","1","2","0","7","4.10","0","30","30.0","30","14","4","28","11","1.35","8.39","3.32","4.11","0.1","5358"
"Nathan Eovaldi","Red Sox","4","4","0","0","4.28","12","12","70.0","73","33","10","62","19","1.32","8.01","2.48","4.11","0.9","9132"
"T.J. McFarland","Diamondbacks","1","1","0","5","4.19","0","30","30.0","33","14","3","20","11","1.45","5.91","3.22","4.12","0.0","3237"
"Ryan Brasier","Red Sox","3","2","19","3","4.10","0","44","44.0","43","20","6","39","13","1.28","8.06","2.71","4.12","0.3","5615"
"Tyler Skaggs","Angels","6","6","0","0","4.13","16","16","94.0","93","43","12","88","33","1.33","8.45","3.11","4.12","1.4","10190"
"Luis Garcia","Angels","2","2","0","8","4.17","0","37","37.0","37","17","3","33","18","1.46","7.99","4.23","4.12","0.1","6984"
"Freddy Peralta","Brewers","4","4","0","4","4.11","6","33","64.0","53","29","9","83","32","1.31","11.59","4.46","4.12","0.5","18679"
"Hunter Wood","Rays","1","1","0","0","4.05","0","17","17.0","16","8","2","18","7","1.31","9.26","3.44","4.12","0.0","15091"
"Matt Albers","Brewers","2","2","0","8","4.12","0","37","37.0","35","17","5","37","12","1.28","9.15","2.85","4.13","0.1","4300"
"Anthony Swarzak","Braves","2","2","2","4","4.16","0","30","30.0","28","14","5","33","11","1.30","10.00","3.24","4.13","0.0","7466"
"Robert Stock","Padres","1","1","0","3","4.18","0","28","28.0","27","13","3","29","15","1.45","9.34","4.62","4.14","0.0","6576"
"John Gant","Cardinals","2","2","19","3","4.12","0","44","44.0","42","20","6","43","18","1.35","8.80","3.57","4.14","0.1","13684"
"Bryse Wilson","Braves","1","1","0","1","4.20","1","4","10.0","9","4","1","9","4","1.36","8.55","3.30","4.14","0.1","19990"
"Brandon Brennan","Mariners","2","2","1","11","4.15","0","40","40.0","38","18","4","37","18","1.43","8.31","4.17","4.14","0.1","13527"
"Luiz Gohara","Braves","0","0","0","0","4.08","1","1","6.0","6","3","1","6","2","1.31","9.36","3.50","4.14","0.1","15166"
"Sean Newcomb","Braves","4","4","1","10","4.17","5","42","68.0","62","31","8","69","31","1.36","9.11","4.04","4.15","0.4","16943"
"D.J. Johnson","Rockies","1","1","0","1","4.26","0","14","14.0","13","6","1","14","7","1.45","9.15","4.37","4.15","0.0","12578"
"Taylor Williams","Brewers","1","1","0","2","4.26","0","23","23.0","23","11","3","24","10","1.42","9.37","3.95","4.16","0.0","14899"
"Touki Toussaint","Braves","3","3","0","6","4.15","3","33","49.0","45","23","5","52","25","1.42","9.61","4.56","4.17","0.2","16929"
"Tony Sipp","Nationals","1","1","0","6","4.10","0","27","27.0","26","12","3","26","11","1.36","8.84","3.56","4.17","0.1","8280"
"Blake Parker","Twins","2","2","19","3","4.14","0","44","44.0","42","20","6","45","16","1.31","9.21","3.31","4.17","0.4","5224"
"Austin Voth","Nationals","1","1","0","1","4.15","1","8","13.0","12","6","2","13","5","1.31","8.74","3.21","4.18","0.1","15047"
"Andrew Heaney","Angels","6","5","0","0","4.13","16","16","95.0","94","44","15","91","25","1.25","8.60","2.38","4.18","1.2","15423"
"Taylor Cole","Angels","1","1","0","0","3.98","0","24","24.0","22","11","3","24","10","1.36","9.19","3.94","4.18","0.0","11964"
"Montana DuRapau","Pirates","2","2","0","8","4.14","0","35","35.0","31","16","5","37","15","1.34","9.60","3.90","4.19","0.0","16768"
"Jon Duplantier","Diamondbacks","2","3","0","1","4.17","5","22","48.0","46","22","5","48","24","1.44","8.95","4.44","4.19","0.4","19546"
