"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Jose Ruiz","White Sox","1","1","0","4","5.08","0","31","31.0","30","17","5","30","18","1.57","8.75","5.22","5.16","-0.1","14552"
"Triston McKenzie","Indians","0","0","0","0","5.04","1","1","6.0","6","4","1","6","3","1.40","8.05","3.67","5.16","0.0","sa874760"
"Scott Blewett","Royals","0","0","0","0","5.05","0","7","7.0","7","4","1","5","3","1.45","6.28","3.34","5.17","0.0","sa828695"
"Yefry Ramirez","Orioles","0","0","0","0","5.16","0","7","7.0","7","4","1","7","3","1.46","8.80","4.12","5.17","0.0","15655"
"Anthony Kay","Mets","1","1","0","0","4.98","2","2","13.0","13","7","2","11","6","1.49","7.85","4.44","5.17","0.0","sa738470"
"Shelby Miller","Rangers","4","7","0","0","5.45","15","15","84.0","93","51","14","68","38","1.56","7.28","4.10","5.17","0.3","10197"
"Josh Fields","Rangers","0","0","0","1","5.07","0","7","7.0","7","4","1","6","3","1.43","7.99","3.85","5.18","0.0","5070"
"Jeremy Hellickson","Nationals","5","6","0","0","5.15","15","15","89.0","97","51","16","63","28","1.41","6.43","2.87","5.18","0.3","4371"
"Cole Irvin","Phillies","1","2","0","0","5.13","4","4","25.0","28","14","5","18","8","1.44","6.55","2.97","5.18","0.1","19244"
"Jimmy Cordero","Blue Jays","0","0","0","0","5.14","0","3","3.0","3","2","0","3","2","1.61","7.92","5.38","5.18","0.0","15690"
"Andrew Cashner","Orioles","5","9","0","0","5.26","20","20","113.0","127","66","19","80","44","1.52","6.34","3.54","5.18","0.5","8782"
"Heath Fillmyer","Royals","1","2","0","0","5.23","3","13","29.0","32","17","5","20","12","1.51","6.01","3.65","5.19","0.0","17466"
"Jefry Rodriguez","Indians","4","6","0","0","5.22","13","17","80.0","85","46","11","61","43","1.60","6.90","4.84","5.19","0.2","17018"
"Keury Mella","Reds","0","0","0","0","5.08","1","1","6.0","6","4","1","5","3","1.48","7.50","4.11","5.20","0.0","15964"
"Manny Banuelos","White Sox","4","7","0","0","5.12","14","14","83.0","83","47","14","80","46","1.56","8.72","4.99","5.20","0.2","5365"
