"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Dawel Lugo","Tigers","22","91","87","22","4","1","1","9","9","3","13","0","1","0",".259",".286",".364",".650",".281","-0.1","0.0","0.1","14713"
"Jake Elmore","Pirates","6","25","22","5","1","0","0","2","2","2","4","0","1","0",".241",".324",".297",".621",".281","-0.1","0.0","0.0","7290"
"Austin Wynns","Orioles","30","125","114","27","4","0","3","12","11","8","27","1","0","0",".237",".293",".345",".637",".281","0.0","0.0","0.2","15271"
"Jorge Alfaro","Marlins","74","310","285","65","11","1","8","28","31","15","105","7","2","1",".230",".283",".363",".646",".280","-0.5","-0.2","0.9","12180"
"Martin Maldonado","Royals","72","304","272","60","12","1","7","29","29","19","70","8","0","1",".221",".290",".343",".634",".280","2.8","-0.7","1.3","6887"
"Jonathan Davis","Blue Jays","28","118","105","23","5","1","2","12","10","9","29","2","4","1",".218",".291",".340",".632",".280","1.1","0.2","0.2","15104"
"Luis Guillorme","Mets","6","24","21","5","1","0","0","2","2","2","4","0","0","0",".242",".311",".311",".623",".279","0.0","0.0","0.0","16451"
"Cole Tucker","Pirates","81","339","306","71","13","3","5","33","29","26","76","2","14","6",".233",".295",".341",".637",".279","0.8","0.3","0.5","17326"
"Jacob Stallings","Pirates","2","9","8","2","0","0","0","1","1","0","2","0","0","0",".243",".288",".351",".639",".279","0.1","0.0","0.0","13723"
"Michael Perez","Rays","14","58","52","12","3","0","1","6","5","4","15","0","0","0",".229",".288",".346",".634",".279","0.4","-0.1","0.1","12977"
"Jake Noll","Nationals","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".243",".285",".355",".639",".278","0.0","0.0","0.0","19703"
"Reese McGuire","Blue Jays","16","69","62","14","3","0","1","7","6","5","15","1","1","0",".224",".290",".345",".635",".278","-0.2","0.0","0.1","15674"
"Billy Hamilton","Royals","94","395","355","84","13","5","3","48","25","32","85","1","28","7",".237",".301",".327",".628",".278","4.3","4.0","1.0","10199"
"Greg Allen","Indians","32","133","119","28","6","1","1","14","11","8","30","3","6","2",".234",".300",".327",".627",".278","-0.3","0.4","-0.1","16623"
"Nick Gordon","Twins","2","10","9","2","0","0","0","1","1","0","2","0","0","0",".246",".291",".344",".635",".278","0.0","0.0","0.0","sa828662"
"Erik Gonzalez","Pirates","15","63","59","14","3","0","1","6","6","3","16","0","1","1",".246",".284",".363",".647",".278","-0.2","0.1","0.0","13369"
"Donovan Solano","Giants","14","58","54","14","3","0","1","5","5","2","9","0","0","0",".255",".291",".344",".635",".278","-0.2","0.0","0.0","8623"
"JaCoby Jones","Tigers","97","408","370","79","16","3","11","43","39","26","131","6","12","4",".214",".276",".362",".638",".278","2.5","1.0","0.5","14818"
"Jacob Nottingham","Brewers","8","34","31","6","1","0","1","3","4","2","11","1","0","0",".206",".277",".359",".636",".277","-0.1","0.0","0.0","16448"
"Dylan Moore","Mariners","11","46","42","9","2","0","1","5","4","3","11","1","1","1",".218",".286",".347",".633",".277","0.2","0.0","0.1","18042"
"Lewis Brinson","Marlins","81","339","312","69","14","3","9","31","35","19","96","4","5","2",".220",".273",".368",".642",".277","1.3","0.2","0.3","14352"
"Bubba Starling","Royals","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".233",".283",".351",".634",".277","0.0","0.0","0.0","sa597751"
"Abiatal Avelino","Giants","8","33","31","7","1","0","1","3","3","2","7","0","1","0",".240",".281",".358",".639",".277","0.1","0.0","0.0","15496"
"Kyle Garlick","Dodgers","2","9","9","2","0","0","0","1","1","0","3","0","0","0",".211",".258",".387",".645",".277","0.0","0.0","0.0","18063"
"Peter O'Brien","Marlins","7","29","26","5","1","0","1","3","3","2","11","0","0","0",".191",".264",".376",".639",".276","-0.2","0.0","-0.1","13288"
"Jason Vosler","Padres","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".207",".275",".357",".632",".276","0.0","0.0","0.0","sa829190"
"Phil Gosselin","Phillies","17","73","67","16","3","0","1","7","6","5","16","0","0","0",".235",".288",".340",".629",".276","-0.3","0.0","0.0","10953"
"Monte Harrison","Marlins","11","48","44","10","2","0","1","4","5","3","17","1","2","1",".217",".277",".354",".630",".276","0.0","0.1","0.0","sa828691"
"Erik Kratz","Rays","10","44","40","9","2","0","1","4","4","2","10","1","0","0",".219",".277",".353",".630",".276","0.1","-0.1","0.2","4403"
"Rene Rivera","Mets","7","30","28","6","1","0","1","3","3","2","9","0","0","0",".212",".270",".366",".636",".276","0.2","-0.1","0.1","3648"
"Chad Wallach","Marlins","28","119","107","22","5","0","3","11","10","10","34","1","0","0",".210",".286",".336",".622",".276","0.1","-0.1","0.4","17161"
"Mike Gerber","Giants","9","38","35","8","2","0","1","4","4","2","13","0","0","0",".218",".273",".360",".634",".276","0.1","0.0","0.0","16115"
"Steve Wilkerson","Orioles","25","104","95","22","4","0","2","10","9","6","28","1","2","1",".231",".285",".344",".629",".276","0.2","-0.2","0.0","16041"
"Charlie Tilson","White Sox","45","190","174","43","6","1","2","18","15","12","39","2","5","2",".246",".298",".324",".622",".276","-0.1","0.1","-0.2","12983"
"Jose Lobaton","Mariners","3","13","11","2","0","0","0","1","1","1","3","0","0","0",".211",".280",".349",".629",".276","0.0","0.0","0.0","4243"
"Meibrys Viloria","Royals","2","9","8","2","0","0","0","1","1","1","2","0","0","0",".231",".289",".335",".624",".275","0.0","0.0","0.0","17109"
"Raffy Lopez","Braves","1","4","4","1","0","0","0","0","0","0","1","0","0","0",".212",".285",".347",".632",".275","0.0","0.0","0.0","12606"
"Rosell Herrera","Marlins","23","97","88","21","4","1","1","9","7","7","20","1","3","1",".234",".295",".328",".623",".275","-0.3","0.1","0.0","11611"
"Mike Freeman","Indians","18","76","68","16","3","0","1","8","6","6","19","0","1","1",".235",".300",".321",".621",".275","0.1","0.0","0.0","11241"
"Adeiny Hechavarria","Mets","11","47","44","11","2","0","1","5","4","2","8","0","0","0",".244",".285",".349",".635",".275","0.3","0.0","0.1","10459"
"Andrew Stevenson","Nationals","8","34","31","7","1","0","0","3","3","2","8","0","1","0",".239",".296",".324",".620",".274","0.0","0.0","0.0","17932"
"Seby Zavala","White Sox","3","13","12","3","1","0","0","1","1","1","4","0","0","0",".214",".269",".360",".629",".274","-0.1","0.0","0.0","18887"
"Tyler Wade","Yankees","5","19","17","4","1","0","0","2","2","2","5","0","1","0",".223",".294",".322",".617",".274","0.0","0.0","0.0","15730"
"Adrian Sanchez","Nationals","5","20","18","5","1","0","0","2","2","1","3","0","0","0",".249",".285",".346",".631",".274","0.0","0.0","0.0","11338"
"Juan Lagares","Mets","48","200","183","44","8","1","3","21","17","11","45","2","4","2",".238",".288",".344",".632",".274","2.1","0.2","0.3","5384"
"Adolis Garcia","Cardinals","2","10","9","2","0","0","0","1","1","0","3","0","0","0",".220",".258",".380",".638",".274","0.0","0.0","0.0","19287"
"Alex Jackson","Braves","4","17","15","3","1","0","1","2","2","1","6","0","0","0",".203",".268",".366",".635",".274","-0.1","0.0","0.0","17276"
"Yu Chang","Indians","5","19","17","4","1","0","0","2","2","1","6","0","0","0",".211",".275",".350",".625",".273","0.0","0.0","0.0","sa830276"
"John Ryan Murphy","Diamondbacks","4","17","15","3","1","0","1","2","2","1","5","0","0","0",".212",".268",".362",".630",".273","0.0","0.0","0.0","10346"
"Ryan LaMarre","Braves","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".229",".286",".335",".621",".273","0.0","0.0","0.0","10700"
