All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
W ,Domingo Acevedo SP | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Tenuta RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Omak Wrong Players,Jordan Zimmermann SP | DET ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rubby De La Rosa RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brad Brach RP | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,JoJo Romero SP | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex Speas RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Halstead RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chasen Bradford RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Stephen Landazuri SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chad Kuhl SP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Walk-In Closets,Ross Stripling SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ethan Hankins SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Clayton Blackburn SP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
DickCards,Jace Fry RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Bremer RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Richelson Pena RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Travis Banwart SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Heriberto Ruelas RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chance Adams RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ben Bracewell RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Manning SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cody Beckman P | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Colby Suggs RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Marlon Arias P | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Grace RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adam Conley RP | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chris Reed RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Trevor Bettencourt RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brett Cecil RP | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Bus 3,Sandy Alcantara SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joakim Soria RP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,El'Hajj Muhammad RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yoel Mecias SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Brice RP | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luis Avilan RP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Barraclough RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jairo Labourt RP | DET ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Neil Ramirez RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Hyatt SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Peoples RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jason Hursh RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Scott Griggs RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cole Winn SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Mengden SP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Rolison SP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ben Holmes RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Wyatt Mills P | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Austin Gomber RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Springer International,Trevor Hildenberger RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Taylor Rogers RP | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jean Machi RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luis Cessa RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Garrett Davila SP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Riley Pint SP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sam Moll RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brandon Workman RP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Garton RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex Scherff SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jonathan Maciel P | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Taylor Grover RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Keegan Long RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,David Peterson P | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Eduardo Jimenez RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Andres Avila RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jeffrey Springs RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Henry Martinez RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Phil Bickford RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chris Devenski RP | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Edgar Garcia RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Moseley RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Koch SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Hunter Harvey SP | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Gilbert RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Travis Wood RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Elniery Garcia SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sam Bragg RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Johnny and the Rockers,Will Smith RP | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Marsh RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nelson Gonzalez RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Edgin RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jake Kalish SP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle McGowin RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Imhof P | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Trevor Cahill SP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex Claudio RP | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kent Emanuel P | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Odrisamer Despaigne RP | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Martin RP | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tommy Hunter RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jen-Ho Tseng SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adam Parks RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mark Appel SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jimmy Yacabonis SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Robinson Ortiz SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Clayton Cook RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Griffin Canning SP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tim Peterson RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tim Lincecum SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Williams Jerez RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Taylor Hearn SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Neil Holland RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Fernando Romero SP | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Travis Hissong RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Corey Taylor RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cionel Perez RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adam Cimber RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tom Hackimer RP | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Feliz RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,P.J. Francescon P | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Asher Wojciechowski RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jarlin Garcia RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Boone Logan RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Braydon Fisher SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Esmerling De La Rosa RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
12oz Darlings,Brad Keller RP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ubaldo Jimenez SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Ferguson RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luke Eubank RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Bus 3,Dereck Rodriguez SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Colton Davis RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Juan Hillman SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jorge Reyes SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Olson RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Derek Rodriguez RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
University of Woolloomooloo Philosophy Department,Alex Reyes SP | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Anfernee Benitez RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cody Stull RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,J.T. Ginn SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luis Escobar SP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Corey Williams RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jimmy Reyes RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joe Pistorese RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jake Stinnett SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kodi Medeiros SP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yoendrys Gomez SP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Phil Maton RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brad Markey RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jason Motte RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brett Martin SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Lucas Benenati RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex Wells SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Meisinger RP | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joan Gregorio SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Springer International,Madison Bumgarner SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kolton Mahoney RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mark Zimmerman RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Miguel Mejia RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
12oz Darlings,Derek Holland SP | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ty Blach RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tony Watson RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mark Melancon RP | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dominic Leone RP | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
12oz Darlings,David Price SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Edward Mujica RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brendan McKay SP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Freeman P | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Akeem Bostick SP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nick Howard SP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Cooper RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Endrys Briceno SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Francisco Mendoza RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kevin McGowan RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dean Kiekhefer RP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brad Goldberg RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Drew VerHagen RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Logan Shore SP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cory Gearrin RP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jon Duplantier SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Elliot Morris P | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joey Krehbiel RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Bus 3,Yoshihisa Hirano RP | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cory Taylor SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Osmer Morales RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rex Brothers RP | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Lyon Richardson SP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Aaron Brooks RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Carl Edwards RP | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jeanmar Gomez RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brady Aiken SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Bus 3,Anibal Sanchez SP | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Thomas Pannone SP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Miller Diaz SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jim Johnson RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Manny Banuelos SP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Zion Iron Lions,Luis Castillo SP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tim Melville RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,John Curtiss RP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Freddy Tarnok RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Phillips Valdez RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mike Broadway RP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tommy Kahnle RP | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jacob Ehret P | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tony Sipp RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ervin Santana SP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Screaming Prairie Camels,Masahiro Tanaka SP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Taylor P | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,David Peterson SP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dustin McGowan RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jose Suarez SP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Zach Hedges RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryder Ryan RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Wagner RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
University of Woolloomooloo Philosophy Department,Andrew Heaney SP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Drew Gagnon RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nik Turley RP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luke Weaver SP | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Kopech SP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jeff Ames SP | TB ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Steven Matz SP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Johnny and the Rockers,Wade Davis RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mark Serrano RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rob Rogers RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jack Leathersich RP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
DickCards,Jordan Hicks RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Martires Arias SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yadier Alvarez SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jimmy Cordero RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Miguel Castro RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jared Lakind RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Blake Weiman RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Packy Naughton SP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jorge Guzman SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Fleet RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Pike SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ruben Alaniz RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jorge Alcala SP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brian Duensing RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Craig Stem P | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Omak Wrong Players,Steve Cishek RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brady Feigl RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jairo Diaz RP | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Omak Wrong Players,Shohei Ohtani DH | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Travis Lakins RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Charlie Shirek SP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ariel Jurado SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kevin Quackenbush RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chi Chi Gonzalez SP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rob Zastryzny RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jake Woodford SP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,JC Ramirez SP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Gage RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,D.J. Baxendale SP | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Blazek RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tom Windle SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alfred Gutierrez RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Carter Capps RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Torres RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,J.T. Brubaker P | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Danny Duffy SP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Collmenter RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Francis Martes RP | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Reymin Guduan RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yonny Chirinos RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Helsley SP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Doolittle RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jayson Aquino RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tim Mayza RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Santiago Garrido SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tayron Guerrero RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Fields RP | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chase Huchingson RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Steve Delabar RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brennan Bernardino RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Miguel Del Pozo RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adam Liberatore RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jason Forjet RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,T.J. Weir RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cristian Javier SP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Francisco Morales SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adbert Alzolay SP | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luis Garcia RP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
