All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
W ,Juan Grullon P | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Aaron Blair SP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
The Midnight Sillies,Trevor May RP | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tom Colletti RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Madison Younginer RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Reyes Moronta RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Andrew Triggs SP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,A.J. Puk SP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Whit Mayberry P | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,A.J. Alexy SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Manny Parra RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Screaming Prairie Camels,Blake Treinen RP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dalton Moats RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Aaron Civale SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Thornburg RP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Montana DuRapau P | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Droitwich Murdercocks,Clayton Kershaw SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brandon Mann RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,David Carpenter RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Winkler SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,David Holmberg RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jackson Stephens RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Madson RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yovani Gallardo SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Felix Hernandez SP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Andrew Kittredge RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mike Hauschild RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Marco Duarte SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chris Tillman SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Aaron Slegers SP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Corcino RP | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Lucas Sims RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Aroni Nina RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Brady RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Gabriel Ynoa RP | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kohl Stewart SP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Drew Smith RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
DickCards,Chris Archer SP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brandon McCarthy SP | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Victor Arano RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Keller P | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Jones RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yennsy Diaz SP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mike Soroka SP | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Albert Minnis RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Robbie Erlin RP | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jordan Minch RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dario Agrazal SP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Taylor Guerrieri RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryne Harper RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
keeper quality boating accidents,Patrick Corbin SP | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Erasmo Ramirez SP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
