Avail,Player,INN,GS,BFP,PC,W,S,K,BBI,HA,HRA,ER,ERA,WHIP,Kd9,BBd9,Rank
FA,Albert Minnis RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
keeper quality boating accidents,Patrick Corbin SP | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,David Garner RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Miguel Almonte RP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tom Gorzelanny RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,JT Chargois RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Ross Detwiler SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Gonzalo Sanudo RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Logan Kensing RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Conor Mullee RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Mark Sappington SP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,A.J. Ladwig P | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tobias Myers SP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Roniel Raudes SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Mike McCarthy P | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Stephen Gonsalves SP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brenan Hanifee RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Dan Altavilla RP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Droitwich Murdercocks,Alex Cobb SP | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Dan Runzler RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Marcos Molina SP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brett Marshall RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Screaming Prairie Camels,Joe Musgrove RP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Logan Sendelbach RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Seth Rosin RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Colten Brewer SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Dusten Knight P | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Joe Filomeno RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tommy Collier SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Drew Hasler P | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Rafael Pineda RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Logan Darnell SP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Ralston Cash RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Antonio Bastardo RP | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kevin Munson RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Cole Irvin SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Luis Ysla RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jose Fernandez RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,J.C. Sulbaran SP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Danny Burawa RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Aaron Barrett RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Joel Payamps P | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Steven Okert RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Connor Sadzeck SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Dellin Betances RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Justus Sheffield SP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tyler Alexander SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Caleb Cotham RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kyle Lohse SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Dillon Gee RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Collin Wiles RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Johnny and the Rockers,Chris Sale SP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tony Barnette RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Severino Gonzalez RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brady Anderson RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Johnny and the Rockers,Marco Estrada SP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Andrew Russell RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
