"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Jaylin Davis","SFG","3","14","13","3","1","0","0","2","2","1","4","0","0","0",".233",".294",".396",".691",".294","0.0","0.0","0.0","999.0","19552"
"Matt Thaiss","LAA","5","21","19","4","1","0","1","2","2","2","5","0","0","0",".228",".305",".383",".688",".296","-0.1","0.0","0.0","999.0","19318"
"Delino DeShields","TEX","5","21","18","4","1","0","0","2","1","2","5","0","1","0",".231",".311",".327",".638",".281","0.1","0.1","0.0","600.6","11379"
"Andrew Waters","ATL","8","35","32","8","2","0","1","4","4","2","11","0","1","0",".245",".294",".394",".688",".291","0.4","0.0","0.0","596.5","sa3004378"
"Brandon Drury","NYM","2","7","6","1","0","0","0","1","1","0","2","0","0","0",".217",".276",".362",".638",".272","0.0","0.0","0.0","999.0","11615"
"Jesus Sanchez","MIA","2","7","6","1","0","0","0","1","1","0","2","0","0","0",".232",".291",".372",".662",".283","0.0","0.0","0.0","600.9","19913"
"Matt Joyce","PHI","26","112","96","22","4","0","4","14","13","15","28","0","0","0",".233",".336",".388",".725",".315","-0.6","-0.1","0.0","600.1","3353"
"Zach Reks","LAD","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".232",".304",".386",".690",".296","0.0","0.0","0.0","999.0","sa3004166"
"Greg Bird","COL","23","98","85","20","5","0","5","12","14","11","25","1","0","0",".237",".330",".462",".791",".333","0.1","-0.1","0.0","600.4","14131"
"Grayson Greiner","DET","40","160","144","29","6","1","5","16","18","12","48","1","1","0",".204",".273",".350",".622",".268","0.2","0.0","0.0","599.3","17062"
"Aristides Aquino","CIN","34","147","134","31","5","1","8","18","23","11","44","2","2","1",".228",".292",".461",".754",".313","-0.1","0.0","0.0","588.3","15482"
"Marcus Wilson","","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".217",".286",".372",".657",".282","0.0","0.0","0.0","999.0","sa828703"
"Lucius Fox","KCR","8","35","31","7","1","0","0","4","3","3","8","0","2","1",".229",".301",".330",".631",".276","-0.1","0.0","0.0","999.0","sa914200"
"Thairo Estrada","NYY","15","63","59","14","2","0","1","7","6","3","15","1","1","0",".234",".279",".358",".637",".273","0.0","0.0","0.0","999.0","16426"
"Rafael Marchan","PHI","5","19","18","4","1","0","0","2","2","1","3","0","0","0",".234",".288",".318",".607",".264","0.1","-0.1","0.0","999.0","21646"
