"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Joshua Jung","TEX","11","49","45","10","2","0","1","4","4","3","11","1","1","0",".216",".269",".311",".580",".252","0.1","0.0","-0.2","999.0","sa3011468"
"Charlie Culberson","TEX","21","91","84","19","4","0","2","9","9","5","26","1","1","0",".228",".277",".355",".632",".269","0.1","0.0","-0.2","999.0","3298"
"Michael Reed","OAK","13","56","51","10","2","0","1","5","5","4","19","0","2","1",".197",".254",".320",".573",".246","0.1","0.0","-0.2","999.0","sa738683"
"Kyle Farmer","CIN","49","209","192","46","10","1","5","20","21","12","48","3","2","1",".240",".294",".369",".663",".284","-0.6","-0.2","-0.2","595.2","14813"
"Dee Gordon","CIN","23","98","92","24","3","1","1","11","7","4","15","1","4","2",".267",".302",".342",".644",".278","-0.6","0.2","-0.2","564.7","8203"
"Seth Brown","OAK","24","105","96","21","5","1","3","11","12","7","33","1","1","0",".219",".274",".380",".654",".277","0.1","0.0","-0.2","600.9","18171"
"Andrew Stevenson","WSN","55","238","216","55","11","2","4","27","25","17","63","2","6","2",".256",".316",".385",".701",".301","-0.8","0.0","-0.2","573.4","17932"
"Erik Gonzalez","PIT","28","119","111","27","6","1","2","11","11","5","31","1","2","1",".242",".279",".365",".643",".272","-0.5","-0.2","-0.2","592.4","13369"
"David Dahl","TEX","102","441","402","99","19","5","15","51","51","30","128","4","5","3",".246",".301",".429",".730",".306","-1.3","-0.2","-0.2","353.7","13744"
"Josh Harrison","WSN","55","238","216","53","10","1","5","25","26","13","43","5","4","2",".247",".303",".370",".673",".289","-0.5","-0.4","-0.2","594.8","8202"
"Mickey Moniak","","21","91","84","19","4","1","2","10","9","6","23","0","2","1",".231",".284",".371",".655",".279","-0.5","0.0","-0.2","999.0","19956"
"Elias Diaz","COL","91","358","329","89","17","0","7","36","40","24","62","2","1","0",".270",".321",".393",".714",".306","-2.2","-0.2","-0.2","396.9","11680"
"Jahmai Jones","BAL","40","175","159","36","6","1","3","17","14","12","39","1","3","2",".228",".287",".334",".621",".270","-0.7","-0.5","-0.2","600.6","18872"
"Magneuris Sierra","MIA","19","84","78","19","3","1","1","8","7","4","17","1","4","1",".242",".284",".331",".615",".266","0.0","0.1","-0.2","600.4","17023"
"Chris Owings","COL","29","126","115","28","6","1","4","14","14","8","35","1","3","1",".241",".295",".395",".690",".293","0.0","0.0","-0.2","599.5","10030"
"Garrett Hampson","COL","79","343","310","79","13","4","7","40","30","26","85","1","15","4",".255",".313",".391",".704",".301","-0.1","1.2","-0.3","252.8","19262"
"Yoenis Cespedes","","53","231","209","47","9","1","11","26","33","17","71","3","2","0",".226",".290",".428",".717",".299","0.0","-0.2","-0.3","594.2","13110"
"Taylor Trammell","SEA","75","322","284","61","9","2","6","33","26","32","87","3","10","5",".214",".299",".326",".625",".275","1.0","-0.4","-0.3","999.0","sa917943"
"Jorge Mateo","SDP","21","91","85","19","4","1","2","9","10","4","28","1","3","1",".219",".262",".361",".623",".263","-0.1","0.0","-0.3","600.2","17273"
"Adolis Garcia","TEX","24","105","98","21","4","1","4","12","13","5","34","1","2","1",".218",".261",".398",".659",".276","0.1","-0.2","-0.4","999.0","19287"
"Anthony Alford","PIT","83","357","322","71","15","2","8","38","33","26","108","5","16","5",".221",".288",".357",".645",".278","-1.6","0.9","-0.4","578.8","14329"
"Lewis Brinson","MIA","42","182","166","35","7","1","5","18","19","12","55","2","4","1",".213",".274",".361",".634",".271","0.0","0.1","-0.4","593.6","14352"
"Sam Hilliard","COL","109","469","426","99","17","4","19","55","55","36","157","3","14","6",".234",".296",".426",".722",".304","-1.8","0.0","-0.4","332.6","17954"
"Eli White","TEX","42","182","164","37","7","1","3","18","15","13","53","3","4","2",".223",".289",".338",".627",".272","-0.9","-0.1","-0.5","999.0","19346"
"Trayce Thompson","ARI","23","98","90","17","3","0","3","10","10","7","36","1","1","1",".185",".243",".343",".587",".249","-0.7","0.0","-0.5","999.0","9952"
"Chris Davis","BAL","29","126","112","20","4","0","4","11","13","12","47","1","0","0",".179",".261",".323",".584",".254","-0.3","-0.1","-0.6","600.5","9272"
"Akil Baddoo","DET","34","147","133","26","4","1","3","14","12","11","41","1","4","2",".199",".265",".321",".586",".255","-1.5","-0.1","-0.6","999.0","sa917953"
"Albert Pujols","LAA","91","392","360","85","15","0","14","40","57","25","60","3","1","0",".236",".288",".399",".687",".289","-0.8","-1.3","-0.7","577.0","1177"
"Josh Fuentes","COL","105","455","427","111","24","3","12","50","54","18","120","4","3","2",".260",".293",".413",".706",".297","0.8","-0.2","-0.7","553.6","16885"
"Andrew Vaughn","CHW","130","560","499","113","23","1","17","62","60","45","122","11","3","3",".226",".301",".374",".675",".291","0.2","-0.9","-0.7","222.6","sa3011226"
